start Python
Time_data_preparation: 1.1676
Testing expression 3.5[3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5]Epoch [1/100], lr:0.0035, Loss:1.4303, Time_for_epoch: 26.5726
Epoch [2/100], lr:0.0035, Loss:0.9466, Time_for_epoch: 23.0053
Epoch [3/100], lr:0.0035, Loss:0.7537, Time_for_epoch: 23.0683
Epoch [4/100], lr:0.0035, Loss:0.6218, Time_for_epoch: 23.0702
Epoch [5/100], lr:0.0035, Loss:0.5559, Time_for_epoch: 23.1414
Epoch [6/100], lr:0.0035, Loss:0.4840, Time_for_epoch: 23.1652
Epoch [7/100], lr:0.0035, Loss:0.4359, Time_for_epoch: 23.1059
Epoch [8/100], lr:0.0035, Loss:0.3846, Time_for_epoch: 23.0244
Epoch [9/100], lr:0.0035, Loss:0.3513, Time_for_epoch: 23.0505
Epoch [10/100], lr:0.0035, Loss:0.3213, Time_for_epoch: 23.0412
Epoch [11/100], lr:0.0035, Loss:0.2865, Time_for_epoch: 23.0434
Epoch [12/100], lr:0.0035, Loss:0.2570, Time_for_epoch: 23.0216
Epoch [13/100], lr:0.0035, Loss:0.2353, Time_for_epoch: 23.0494
Epoch [14/100], lr:0.0035, Loss:0.2092, Time_for_epoch: 23.0693
Epoch [15/100], lr:0.0035, Loss:0.1845, Time_for_epoch: 23.0504
Epoch [16/100], lr:0.0035, Loss:0.1724, Time_for_epoch: 23.0642
Epoch [17/100], lr:0.0035, Loss:0.1614, Time_for_epoch: 23.1189
Epoch [18/100], lr:0.0035, Loss:0.1435, Time_for_epoch: 23.1038
Epoch [19/100], lr:0.0035, Loss:0.1325, Time_for_epoch: 23.1163
Epoch [20/100], lr:0.0035, Loss:0.1262, Time_for_epoch: 23.1139
Epoch [21/100], lr:0.0035, Loss:0.1121, Time_for_epoch: 23.1166
Epoch [22/100], lr:0.0035, Loss:0.1062, Time_for_epoch: 23.1061
Epoch [23/100], lr:0.0035, Loss:0.1058, Time_for_epoch: 23.1061
Epoch [24/100], lr:0.0035, Loss:0.0943, Time_for_epoch: 23.1165
Epoch [25/100], lr:0.0035, Loss:0.0863, Time_for_epoch: 23.1215
Epoch [26/100], lr:0.0035, Loss:0.0890, Time_for_epoch: 23.1038
Epoch [27/100], lr:0.0035, Loss:0.0795, Time_for_epoch: 23.1112
Epoch [28/100], lr:0.0035, Loss:0.0766, Time_for_epoch: 23.1121
Epoch [29/100], lr:0.0035, Loss:0.0786, Time_for_epoch: 23.1208
Epoch [30/100], lr:0.0035, Loss:0.0750, Time_for_epoch: 23.1030
Epoch [31/100], lr:0.0035, Loss:0.0679, Time_for_epoch: 23.0875
Epoch [32/100], lr:0.0035, Loss:0.0646, Time_for_epoch: 23.2948
Epoch [33/100], lr:0.0035, Loss:0.0650, Time_for_epoch: 23.0746
Epoch [34/100], lr:0.0035, Loss:0.0602, Time_for_epoch: 23.0892
Epoch [35/100], lr:0.0035, Loss:0.0612, Time_for_epoch: 23.2987
Epoch [36/100], lr:0.0035, Loss:0.0647, Time_for_epoch: 23.1833
Epoch [37/100], lr:0.0035, Loss:0.0592, Time_for_epoch: 23.0365
Epoch [38/100], lr:0.0035, Loss:0.0552, Time_for_epoch: 23.1138
Epoch [39/100], lr:0.0035, Loss:0.0556, Time_for_epoch: 23.2070
Epoch [40/100], lr:0.0035, Loss:0.0491, Time_for_epoch: 23.2007
Epoch [41/100], lr:0.0035, Loss:0.0504, Time_for_epoch: 23.1800
Epoch [42/100], lr:0.0035, Loss:0.0573, Time_for_epoch: 23.1440
Epoch [43/100], lr:0.0035, Loss:0.0417, Time_for_epoch: 23.0706
Epoch [44/100], lr:0.0035, Loss:0.0525, Time_for_epoch: 23.0935
Epoch [45/100], lr:0.0035, Loss:0.0495, Time_for_epoch: 23.0898
Epoch [46/100], lr:0.0035, Loss:0.0473, Time_for_epoch: 23.0951
Epoch [47/100], lr:0.0035, Loss:0.0460, Time_for_epoch: 23.0591
Epoch [48/100], lr:0.0035, Loss:0.0392, Time_for_epoch: 23.0877
Epoch [49/100], lr:0.0035, Loss:0.0398, Time_for_epoch: 23.0694
Epoch [50/100], lr:0.0035, Loss:0.0429, Time_for_epoch: 23.0952
Epoch [51/100], lr:0.0035, Loss:0.0409, Time_for_epoch: 23.0921
Epoch [52/100], lr:0.0035, Loss:0.0400, Time_for_epoch: 23.2114
Epoch [53/100], lr:0.0035, Loss:0.0446, Time_for_epoch: 23.2874
Epoch [54/100], lr:0.0035, Loss:0.0374, Time_for_epoch: 23.1767
