start Python
Time_data_preparation: 1.0773
Testing expression -0.747+log(e)[-0.747      -0.05385282  0.35161229  0.63929436  0.86243791  1.04475947
  1.19891015  1.33244154  1.45022458  1.55558509  1.65089527  1.73790665
  1.81794936  1.89205733  1.9610502   2.02558872  2.08621334  2.14337176
  2.19743898  2.24873227  2.29752244  2.34404245  2.38849422  2.43105383
  2.47187582  2.51109654  2.54883687  2.58520451  2.62029583  2.65419738
  2.6869872   2.7187359   2.74950756  2.77936052  2.80834806  2.83651894
  2.86391791  2.89058616  2.91656165  2.94187945  2.96657207  2.99066962
  3.01420012  3.03718963  3.05966249  3.0816414   3.1031476   3.12420101
  3.1448203   3.16502301  3.18482563  3.20424372  3.22329191  3.24198405
  3.26033319  3.27835169  3.29605127  3.31344301  3.33053744  3.34734456
  3.36387386  3.38013439  3.39613473  3.41188308  3.42738727  3.44265474
  3.45769262  3.47250771  3.4871065   3.50149524  3.51567988  3.52966612
  3.54345944  3.55706509  3.57048811  3.58373334  3.59680542  3.60970883
  3.62244785  3.63502663  3.64744915  3.65971925  3.67184061  3.6838168
  3.69565126  3.7073473   3.71890812  3.73033681  3.74163637  3.75280967
  3.76385951  3.77478858  3.78559949  3.79629478  3.80687689  3.81734819
  3.82771098  3.83796748  3.84811985  3.85817019]Epoch [1/100], lr:-0.0007, Loss:284.5673, Time_for_epoch: 19.5447
Epoch [2/100], lr:-0.0001, Loss:757.3257, Time_for_epoch: 16.6652
Epoch [3/100], lr:0.0004, Loss:129.6737, Time_for_epoch: 16.6773
Epoch [4/100], lr:0.0006, Loss:17.4472, Time_for_epoch: 16.6825
Epoch [5/100], lr:0.0009, Loss:3.5141, Time_for_epoch: 16.6704
Epoch [6/100], lr:0.0010, Loss:2.1417, Time_for_epoch: 21.2615
Epoch [7/100], lr:0.0012, Loss:1.9532, Time_for_epoch: 21.9482
Epoch [8/100], lr:0.0013, Loss:1.7739, Time_for_epoch: 17.5196
Epoch [9/100], lr:0.0015, Loss:1.6344, Time_for_epoch: 16.6569
Epoch [10/100], lr:0.0016, Loss:1.5535, Time_for_epoch: 16.6609
Epoch [11/100], lr:0.0017, Loss:1.3870, Time_for_epoch: 16.6572
Epoch [12/100], lr:0.0017, Loss:1.2844, Time_for_epoch: 16.6571
Epoch [13/100], lr:0.0018, Loss:1.1439, Time_for_epoch: 16.7010
Epoch [14/100], lr:0.0019, Loss:1.0866, Time_for_epoch: 16.6658
Epoch [15/100], lr:0.0020, Loss:0.9754, Time_for_epoch: 16.6662
Epoch [16/100], lr:0.0020, Loss:0.9158, Time_for_epoch: 16.6641
Epoch [17/100], lr:0.0021, Loss:0.8552, Time_for_epoch: 16.6742
Epoch [18/100], lr:0.0021, Loss:0.8132, Time_for_epoch: 16.6616
Epoch [19/100], lr:0.0022, Loss:0.7692, Time_for_epoch: 16.6753
Epoch [20/100], lr:0.0022, Loss:0.7032, Time_for_epoch: 16.6723
Epoch [21/100], lr:0.0023, Loss:0.6535, Time_for_epoch: 16.6689
Epoch [22/100], lr:0.0023, Loss:0.6191, Time_for_epoch: 16.6663
Epoch [23/100], lr:0.0024, Loss:0.7360, Time_for_epoch: 16.6770
Epoch [24/100], lr:0.0024, Loss:1.1272, Time_for_epoch: 16.6767
