start Python
Time_data_preparation: 1.1663
Testing expression cos(cos(e))[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
 0.72902338 0.98943353 0.61285301 0.66815392 0.99999021 0.66458805
 0.61575952 0.99066602 0.72505098 0.57543575 0.96238083 0.78979801
 0.54977237 0.91788364 0.85370921 0.54033527 0.86137142 0.91137694
 0.54768388 0.7979444  0.95763009 0.57138334 0.73301155 0.98812682
 0.60999475 0.6717532  0.99991187 0.6610566  0.61871353 0.99182381
 0.72109555 0.57754864 0.9646609  0.78571941 0.55091235 0.92106671
 0.84984073 0.54043415 0.86516251 0.90805567 0.54673585 0.80200955
 0.95516121 0.5694448  0.7370143  0.98674638 0.60718548 0.6753849
 0.99975521 0.65756052 0.62171428 0.99290645 0.71715827 0.57971864
 0.96687627 0.78163895 0.5521158  0.92420137 0.84594911 0.54059893
 0.86892516 0.90469074 0.54585227 0.80606757 0.95263124 0.56756534
 0.7410304  0.98529277 0.60442592 0.67904798 0.99952031 0.6541008
 0.62476098 0.99391351 0.71324031 0.58194522 0.9690261  0.77755794
 0.55338243 0.92728646 0.84203568 0.54082956 0.87265806 0.90128334
 0.54503333 0.81011713 0.95004112 0.56574541 0.74505865 0.98376654
 0.60171676 0.68274143 0.99920725 0.65067838]Epoch [1/100], lr:0.0009, Loss:1.3988, Time_for_epoch: 26.6966
Epoch [2/100], lr:0.0009, Loss:0.9414, Time_for_epoch: 23.1417
Epoch [3/100], lr:0.0005, Loss:0.6535, Time_for_epoch: 23.5965
Epoch [4/100], lr:0.0008, Loss:0.5947, Time_for_epoch: 23.1426
Epoch [5/100], lr:0.0010, Loss:0.5365, Time_for_epoch: 23.1923
Epoch [6/100], lr:0.0006, Loss:0.3443, Time_for_epoch: 23.3063
Epoch [7/100], lr:0.0007, Loss:0.3287, Time_for_epoch: 23.0878
Epoch [8/100], lr:0.0010, Loss:0.3638, Time_for_epoch: 23.0787
Epoch [9/100], lr:0.0006, Loss:0.1940, Time_for_epoch: 23.2346
Epoch [10/100], lr:0.0007, Loss:0.1640, Time_for_epoch: 23.2732
Epoch [11/100], lr:0.0010, Loss:0.2821, Time_for_epoch: 23.3153
Epoch [12/100], lr:0.0007, Loss:0.1277, Time_for_epoch: 23.0809
Epoch [13/100], lr:0.0006, Loss:0.0812, Time_for_epoch: 22.9726
Epoch [14/100], lr:0.0010, Loss:0.2317, Time_for_epoch: 23.0188
Epoch [15/100], lr:0.0007, Loss:0.1080, Time_for_epoch: 22.9998
Epoch [16/100], lr:0.0006, Loss:0.0441, Time_for_epoch: 23.2500
Epoch [17/100], lr:0.0010, Loss:0.1943, Time_for_epoch: 23.2809
Epoch [18/100], lr:0.0008, Loss:0.1067, Time_for_epoch: 23.3978
Epoch [19/100], lr:0.0005, Loss:0.0366, Time_for_epoch: 23.0609
Epoch [20/100], lr:0.0009, Loss:0.1355, Time_for_epoch: 23.7494
Epoch [21/100], lr:0.0009, Loss:0.1108, Time_for_epoch: 23.6972
Epoch [22/100], lr:0.0005, Loss:0.0364, Time_for_epoch: 23.3026
Epoch [23/100], lr:0.0009, Loss:0.0919, Time_for_epoch: 23.3343
Epoch [24/100], lr:0.0009, Loss:0.1166, Time_for_epoch: 23.0123
Epoch [25/100], lr:0.0005, Loss:0.0389, Time_for_epoch: 22.9833
Epoch [26/100], lr:0.0008, Loss:0.0381, Time_for_epoch: 23.0853
Epoch [27/100], lr:0.0010, Loss:0.1474, Time_for_epoch: 23.1121
Epoch [28/100], lr:0.0006, Loss:0.0399, Time_for_epoch: 23.1136
Epoch [29/100], lr:0.0007, Loss:0.0186, Time_for_epoch: 23.1772
Epoch [30/100], lr:0.0010, Loss:0.1414, Time_for_epoch: 23.1419
Epoch [31/100], lr:0.0006, Loss:0.0503, Time_for_epoch: 23.1170
Epoch [32/100], lr:0.0007, Loss:0.0220, Time_for_epoch: 23.4750
Epoch [33/100], lr:0.0010, Loss:0.1243, Time_for_epoch: 23.3992
Epoch [34/100], lr:0.0007, Loss:0.0438, Time_for_epoch: 23.5129
Epoch [35/100], lr:0.0006, Loss:0.0115, Time_for_epoch: 23.3068
Epoch [36/100], lr:0.0010, Loss:0.1000, Time_for_epoch: 23.1068
Epoch [37/100], lr:0.0007, Loss:0.0560, Time_for_epoch: 23.1556
Epoch [38/100], lr:0.0006, Loss:0.0149, Time_for_epoch: 22.8925
Epoch [39/100], lr:0.0010, Loss:0.0891, Time_for_epoch: 22.8851
Epoch [40/100], lr:0.0008, Loss:0.0531, Time_for_epoch: 22.8702
Epoch [41/100], lr:0.0006, Loss:0.0153, Time_for_epoch: 22.8700
Epoch [42/100], lr:0.0009, Loss:0.0625, Time_for_epoch: 22.8690
Epoch [43/100], lr:0.0008, Loss:0.0672, Time_for_epoch: 22.8844
Epoch [44/100], lr:0.0005, Loss:0.0172, Time_for_epoch: 22.8746
Epoch [45/100], lr:0.0009, Loss:0.0122, Time_for_epoch: 23.1339
Epoch [46/100], lr:0.0009, Loss:0.1000, Time_for_epoch: 23.1397
Epoch [47/100], lr:0.0005, Loss:0.0274, Time_for_epoch: 23.1215
Epoch [48/100], lr:0.0008, Loss:0.0130, Time_for_epoch: 23.1410
Epoch [49/100], lr:0.0010, Loss:0.0762, Time_for_epoch: 23.1024
Epoch [50/100], lr:0.0006, Loss:0.0268, Time_for_epoch: 23.1283
