start Python
Time_data_preparation: 1.1929
Testing scheduler 0: CyclicLRMethod 0: Epoch [1/100], lr:0.0010, Loss:1.4084, Time_for_epoch: 44.5317
Method 0: Epoch [2/100], lr:0.0028, Loss:1.0316, Time_for_epoch: 37.4982
Method 0: Epoch [3/100], lr:0.0046, Loss:0.8324, Time_for_epoch: 37.2175
Method 0: Epoch [4/100], lr:0.0064, Loss:0.7077, Time_for_epoch: 37.4090
Method 0: Epoch [5/100], lr:0.0082, Loss:0.6459, Time_for_epoch: 38.3211
Method 0: Epoch [6/100], lr:0.0100, Loss:0.5900, Time_for_epoch: 37.9080
Method 0: Epoch [7/100], lr:0.0082, Loss:0.4771, Time_for_epoch: 37.8967
Method 0: Epoch [8/100], lr:0.0064, Loss:0.3852, Time_for_epoch: 37.7194
Method 0: Epoch [9/100], lr:0.0046, Loss:0.2950, Time_for_epoch: 38.0348
Method 0: Epoch [10/100], lr:0.0028, Loss:0.1942, Time_for_epoch: 38.0692
Method 0: Epoch [11/100], lr:0.0010, Loss:0.0890, Time_for_epoch: 38.0685
Method 0: Epoch [12/100], lr:0.0028, Loss:0.1644, Time_for_epoch: 38.2786
Method 0: Epoch [13/100], lr:0.0046, Loss:0.2825, Time_for_epoch: 37.6652
Method 0: Epoch [14/100], lr:0.0064, Loss:0.3270, Time_for_epoch: 38.2380
Method 0: Epoch [15/100], lr:0.0082, Loss:0.3539, Time_for_epoch: 38.0144
Method 0: Epoch [16/100], lr:0.0100, Loss:0.3617, Time_for_epoch: 38.0714
Method 0: Epoch [17/100], lr:0.0082, Loss:0.2762, Time_for_epoch: 37.1375
Method 0: Epoch [18/100], lr:0.0064, Loss:0.1985, Time_for_epoch: 37.9460
Method 0: Epoch [19/100], lr:0.0046, Loss:0.1205, Time_for_epoch: 38.1054
Method 0: Epoch [20/100], lr:0.0028, Loss:0.0519, Time_for_epoch: 38.4643
Method 0: Epoch [21/100], lr:0.0010, Loss:0.0149, Time_for_epoch: 37.8413
Method 0: Epoch [22/100], lr:0.0028, Loss:0.0350, Time_for_epoch: 38.0347
Method 0: Epoch [23/100], lr:0.0046, Loss:0.1635, Time_for_epoch: 38.0366
Method 0: Epoch [24/100], lr:0.0064, Loss:0.1860, Time_for_epoch: 37.7704
Method 0: Epoch [25/100], lr:0.0082, Loss:0.2207, Time_for_epoch: 38.1748
Method 0: Epoch [26/100], lr:0.0100, Loss:0.2390, Time_for_epoch: 37.7261
Method 0: Epoch [27/100], lr:0.0082, Loss:0.1721, Time_for_epoch: 37.9314
