start Python
Time_data_preparation: 1.1053
Testing expression cos(cos(e))
[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
 0.72902338 0.98943353 0.61285301 0.66815392 0.99999021 0.66458805
 0.61575952 0.99066602 0.72505098 0.57543575 0.96238083 0.78979801
 0.54977237 0.91788364 0.85370921 0.54033527 0.86137142 0.91137694
 0.54768388 0.7979444  0.95763009 0.57138334 0.73301155 0.98812682
 0.60999475 0.6717532  0.99991187 0.6610566  0.61871353 0.99182381
 0.72109555 0.57754864 0.9646609  0.78571941 0.55091235 0.92106671
 0.84984073 0.54043415 0.86516251 0.90805567 0.54673585 0.80200955
 0.95516121 0.5694448  0.7370143  0.98674638 0.60718548 0.6753849
 0.99975521 0.65756052 0.62171428 0.99290645 0.71715827 0.57971864
 0.96687627 0.78163895 0.5521158  0.92420137 0.84594911 0.54059893
 0.86892516 0.90469074 0.54585227 0.80606757 0.95263124 0.56756534
 0.7410304  0.98529277 0.60442592 0.67904798 0.99952031 0.6541008
 0.62476098 0.99391351 0.71324031 0.58194522 0.9690261  0.77755794
 0.55338243 0.92728646 0.84203568 0.54082956 0.87265806 0.90128334
 0.54503333 0.81011713 0.95004112 0.56574541 0.74505865 0.98376654
 0.60171676 0.68274143 0.99920725 0.65067838]
Epoch [1/100], lr:0.0009, Loss:1.1450, Time_for_epoch: 55.2968
Epoch [2/100], lr:0.0009, Loss:0.6972, Time_for_epoch: 50.4882
Epoch [3/100], lr:0.0005, Loss:0.4640, Time_for_epoch: 50.4464
Epoch [4/100], lr:0.0008, Loss:0.4307, Time_for_epoch: 50.4575
Epoch [5/100], lr:0.0010, Loss:0.3817, Time_for_epoch: 50.4840
Epoch [6/100], lr:0.0006, Loss:0.2390, Time_for_epoch: 50.4880
Epoch [7/100], lr:0.0007, Loss:0.2291, Time_for_epoch: 50.4553
Epoch [8/100], lr:0.0010, Loss:0.2484, Time_for_epoch: 50.4214
Epoch [9/100], lr:0.0006, Loss:0.1234, Time_for_epoch: 50.4189
Epoch [10/100], lr:0.0007, Loss:0.1087, Time_for_epoch: 50.4904
Epoch [11/100], lr:0.0010, Loss:0.1908, Time_for_epoch: 50.5129
Epoch [12/100], lr:0.0007, Loss:0.0703, Time_for_epoch: 50.5397
Epoch [13/100], lr:0.0006, Loss:0.0433, Time_for_epoch: 50.5449
Epoch [14/100], lr:0.0010, Loss:0.1563, Time_for_epoch: 50.5433
Epoch [15/100], lr:0.0007, Loss:0.0509, Time_for_epoch: 50.5264
Epoch [16/100], lr:0.0006, Loss:0.0199, Time_for_epoch: 50.5438
Epoch [17/100], lr:0.0010, Loss:0.1260, Time_for_epoch: 50.5349
Epoch [18/100], lr:0.0008, Loss:0.0456, Time_for_epoch: 50.5138
Epoch [19/100], lr:0.0005, Loss:0.0154, Time_for_epoch: 50.5660
Epoch [20/100], lr:0.0009, Loss:0.0896, Time_for_epoch: 50.5488
Epoch [21/100], lr:0.0009, Loss:0.0501, Time_for_epoch: 50.5070
Epoch [22/100], lr:0.0005, Loss:0.0167, Time_for_epoch: 50.5573
Epoch [23/100], lr:0.0009, Loss:0.0613, Time_for_epoch: 50.5502
Epoch [24/100], lr:0.0009, Loss:0.0643, Time_for_epoch: 50.5387
Epoch [25/100], lr:0.0005, Loss:0.0137, Time_for_epoch: 50.5624
Epoch [26/100], lr:0.0008, Loss:0.0195, Time_for_epoch: 50.5384
