start Python
Time_data_preparation: 8.2893
Testing expression cos(cos(e))
[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
 0.72902338 0.98943353 0.61285301 0.66815392 0.99999021 0.66458805
 0.61575952 0.99066602 0.72505098 0.57543575 0.96238083 0.78979801
 0.54977237 0.91788364 0.85370921 0.54033527 0.86137142 0.91137694
 0.54768388 0.7979444  0.95763009 0.57138334 0.73301155 0.98812682
 0.60999475 0.6717532  0.99991187 0.6610566  0.61871353 0.99182381
 0.72109555 0.57754864 0.9646609  0.78571941 0.55091235 0.92106671
 0.84984073 0.54043415 0.86516251 0.90805567 0.54673585 0.80200955
 0.95516121 0.5694448 ]
Epoch [1/50], lr:0.0009, Loss:1.4408, Time_for_epoch: 110.7360
Epoch [2/50], lr:0.0009, Loss:0.9733, Time_for_epoch: 108.3421
Epoch [3/50], lr:0.0005, Loss:0.6809, Time_for_epoch: 108.3572
Epoch [4/50], lr:0.0008, Loss:0.6126, Time_for_epoch: 108.3546
Epoch [5/50], lr:0.0010, Loss:0.5544, Time_for_epoch: 108.3547
Epoch [6/50], lr:0.0006, Loss:0.3649, Time_for_epoch: 108.3447
Epoch [7/50], lr:0.0007, Loss:0.3424, Time_for_epoch: 108.3438
Epoch [8/50], lr:0.0010, Loss:0.3710, Time_for_epoch: 108.3611
Epoch [9/50], lr:0.0006, Loss:0.2051, Time_for_epoch: 108.3546
Epoch [10/50], lr:0.0007, Loss:0.1687, Time_for_epoch: 108.3579
Epoch [11/50], lr:0.0010, Loss:0.2862, Time_for_epoch: 108.3577
Epoch [12/50], lr:0.0007, Loss:0.1378, Time_for_epoch: 108.3603
Epoch [13/50], lr:0.0006, Loss:0.0798, Time_for_epoch: 108.3506
Epoch [14/50], lr:0.0010, Loss:0.2431, Time_for_epoch: 108.3525
Epoch [15/50], lr:0.0007, Loss:0.1127, Time_for_epoch: 108.3496
Epoch [16/50], lr:0.0006, Loss:0.0482, Time_for_epoch: 108.3431
Epoch [17/50], lr:0.0010, Loss:0.1889, Time_for_epoch: 108.2611
Epoch [18/50], lr:0.0008, Loss:0.1120, Time_for_epoch: 108.1091
Epoch [19/50], lr:0.0005, Loss:0.0396, Time_for_epoch: 108.1006
Epoch [20/50], lr:0.0009, Loss:0.1397, Time_for_epoch: 108.1041
Epoch [21/50], lr:0.0009, Loss:0.1139, Time_for_epoch: 108.0975
Epoch [22/50], lr:0.0005, Loss:0.0403, Time_for_epoch: 108.1053
Epoch [23/50], lr:0.0009, Loss:0.0831, Time_for_epoch: 108.1033
Epoch [24/50], lr:0.0009, Loss:0.1285, Time_for_epoch: 108.1092
Epoch [25/50], lr:0.0005, Loss:0.0384, Time_for_epoch: 108.1055
Epoch [26/50], lr:0.0008, Loss:0.0359, Time_for_epoch: 108.1010
Epoch [27/50], lr:0.0010, Loss:0.1512, Time_for_epoch: 108.1194
Epoch [28/50], lr:0.0006, Loss:0.0423, Time_for_epoch: 108.1186
Epoch [29/50], lr:0.0007, Loss:0.0215, Time_for_epoch: 108.1200
Epoch [30/50], lr:0.0010, Loss:0.1497, Time_for_epoch: 108.1201
Epoch [31/50], lr:0.0006, Loss:0.0392, Time_for_epoch: 108.1188
Epoch [32/50], lr:0.0007, Loss:0.0133, Time_for_epoch: 108.1179
Epoch [33/50], lr:0.0010, Loss:0.1450, Time_for_epoch: 108.1208
