start Python
Time_data_preparation: 1.2995
Testing expression cos(cos(e))
[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
 0.72902338 0.98943353 0.61285301 0.66815392 0.99999021 0.66458805
 0.61575952 0.99066602 0.72505098 0.57543575 0.96238083 0.78979801
 0.54977237 0.91788364 0.85370921 0.54033527 0.86137142 0.91137694
 0.54768388 0.7979444  0.95763009 0.57138334 0.73301155 0.98812682
 0.60999475 0.6717532  0.99991187 0.6610566  0.61871353 0.99182381
 0.72109555 0.57754864 0.9646609  0.78571941 0.55091235 0.92106671
 0.84984073 0.54043415 0.86516251 0.90805567 0.54673585 0.80200955
 0.95516121 0.5694448 ]
Epoch [1/50], lr:0.0009, Loss:1.8549, Time_for_epoch: 47.8695
Epoch [2/50], lr:0.0009, Loss:1.2223, Time_for_epoch: 43.6690
Epoch [3/50], lr:0.0005, Loss:0.8795, Time_for_epoch: 43.9730
Epoch [4/50], lr:0.0008, Loss:0.7674, Time_for_epoch: 44.0562
Epoch [5/50], lr:0.0010, Loss:0.6487, Time_for_epoch: 43.8495
Epoch [6/50], lr:0.0006, Loss:0.4622, Time_for_epoch: 43.8577
Epoch [7/50], lr:0.0007, Loss:0.4249, Time_for_epoch: 43.8475
Epoch [8/50], lr:0.0010, Loss:0.4142, Time_for_epoch: 43.8982
Epoch [9/50], lr:0.0006, Loss:0.2561, Time_for_epoch: 44.1247
Epoch [10/50], lr:0.0007, Loss:0.2147, Time_for_epoch: 44.1361
Epoch [11/50], lr:0.0010, Loss:0.2579, Time_for_epoch: 43.9762
Epoch [12/50], lr:0.0007, Loss:0.1331, Time_for_epoch: 43.9056
Epoch [13/50], lr:0.0006, Loss:0.0841, Time_for_epoch: 43.9097
Epoch [14/50], lr:0.0010, Loss:0.1830, Time_for_epoch: 43.9188
Epoch [15/50], lr:0.0007, Loss:0.0740, Time_for_epoch: 43.9031
Epoch [16/50], lr:0.0006, Loss:0.0417, Time_for_epoch: 43.9150
Epoch [17/50], lr:0.0010, Loss:0.1203, Time_for_epoch: 43.9051
Epoch [18/50], lr:0.0008, Loss:0.0667, Time_for_epoch: 43.9096
Epoch [19/50], lr:0.0005, Loss:0.0261, Time_for_epoch: 43.9025
Epoch [20/50], lr:0.0009, Loss:0.0820, Time_for_epoch: 43.9088
Epoch [21/50], lr:0.0009, Loss:0.0584, Time_for_epoch: 43.9099
Epoch [22/50], lr:0.0005, Loss:0.0210, Time_for_epoch: 43.9118
Epoch [23/50], lr:0.0009, Loss:0.0563, Time_for_epoch: 43.9315
Epoch [24/50], lr:0.0009, Loss:0.0598, Time_for_epoch: 43.9206
Epoch [25/50], lr:0.0005, Loss:0.0192, Time_for_epoch: 43.9163
Epoch [26/50], lr:0.0008, Loss:0.0387, Time_for_epoch: 43.8909
Epoch [27/50], lr:0.0010, Loss:0.0705, Time_for_epoch: 43.9069
Epoch [28/50], lr:0.0006, Loss:0.0148, Time_for_epoch: 43.8965
Epoch [29/50], lr:0.0007, Loss:0.0238, Time_for_epoch: 43.9055
Epoch [30/50], lr:0.0010, Loss:0.0584, Time_for_epoch: 43.9092
Epoch [31/50], lr:0.0006, Loss:0.0155, Time_for_epoch: 43.8879
Epoch [32/50], lr:0.0007, Loss:0.0167, Time_for_epoch: 43.9044
Epoch [33/50], lr:0.0010, Loss:0.0673, Time_for_epoch: 43.9031
