start Python
Time_data_preparation: 1.2053
Testing expression (e)**0.29[1.         1.22264028 1.37519778 1.49484925 1.59478191 1.6813722
 1.75824112 1.8276629  1.89116895 1.9498446  2.00448993 2.05571337
 2.10398952 2.14969641 2.19314055 2.23457428 2.27420802 2.31221932
 2.34875947 2.38395854 2.41792929 2.45077012 2.48256754 2.51339797
 2.54332935 2.57242233 2.60073134 2.62830541 2.65518887 2.68142197
 2.70704136 2.73208051 2.75657011 2.78053833 2.80401113 2.82701248
 2.84956455 2.87168793 2.89340172 2.91472373 2.93567057 2.95625773
 2.97649976 2.99641026 3.01600203 3.03528707 3.0542767  3.07298159
 3.09141182 3.1095769  3.12748583 3.14514715 3.16256895 3.17975889
 3.19672428 3.21347206 3.23000882 3.24634086 3.26247418 3.27841451
 3.2941673  3.3097378  3.325131   3.34035168 3.35540443 3.37029364
 3.38502354 3.39959815 3.41402138 3.42829694 3.44242844 3.45641932
 3.47027291 3.4839924  3.49758088 3.51104133 3.52437661 3.53758949
 3.55068264 3.56365864 3.57651998 3.58926908 3.60190826 3.61443978
 3.62686582 3.6391885  3.65140985 3.66353188 3.67555649 3.68748556
 3.69932088 3.71106422 3.72271728 3.73428171 3.74575912 3.75715107
 3.76845907 3.77968461 3.79082911 3.80189396]Epoch [1/100], lr:0.0010, Loss:1.3963, Time_for_epoch: 44.4339
Epoch [2/100], lr:0.0012, Loss:0.9503, Time_for_epoch: 38.5028
Epoch [3/100], lr:0.0014, Loss:0.7399, Time_for_epoch: 37.5041
Epoch [4/100], lr:0.0015, Loss:0.6202, Time_for_epoch: 37.8160
Epoch [5/100], lr:0.0016, Loss:0.5434, Time_for_epoch: 38.0571
Epoch [6/100], lr:0.0017, Loss:0.4726, Time_for_epoch: 38.8922
Epoch [7/100], lr:0.0018, Loss:0.4196, Time_for_epoch: 38.2030
Epoch [8/100], lr:0.0018, Loss:0.3703, Time_for_epoch: 38.3550
Epoch [9/100], lr:0.0019, Loss:0.3346, Time_for_epoch: 38.1612
Epoch [10/100], lr:0.0019, Loss:0.3102, Time_for_epoch: 36.8489
Epoch [11/100], lr:0.0020, Loss:0.2775, Time_for_epoch: 38.0758
Epoch [12/100], lr:0.0021, Loss:0.2505, Time_for_epoch: 37.4972
Epoch [13/100], lr:0.0021, Loss:0.2325, Time_for_epoch: 40.4356
Epoch [14/100], lr:0.0021, Loss:0.2083, Time_for_epoch: 47.1257
Epoch [15/100], lr:0.0022, Loss:0.1996, Time_for_epoch: 47.5911
Epoch [16/100], lr:0.0022, Loss:0.1781, Time_for_epoch: 47.4748
Epoch [17/100], lr:0.0023, Loss:0.1654, Time_for_epoch: 47.5507
Epoch [18/100], lr:0.0023, Loss:0.1560, Time_for_epoch: 47.0898
Epoch [19/100], lr:0.0023, Loss:0.1451, Time_for_epoch: 47.5800
Epoch [20/100], lr:0.0024, Loss:0.1403, Time_for_epoch: 47.5845
Epoch [21/100], lr:0.0024, Loss:0.1327, Time_for_epoch: 47.6595
Epoch [22/100], lr:0.0025, Loss:0.1186, Time_for_epoch: 47.4899
Epoch [23/100], lr:0.0025, Loss:0.1166, Time_for_epoch: 47.4911
Epoch [24/100], lr:0.0025, Loss:0.1174, Time_for_epoch: 47.3474
Epoch [25/100], lr:0.0025, Loss:0.1056, Time_for_epoch: 47.4669
Epoch [26/100], lr:0.0026, Loss:0.1055, Time_for_epoch: 47.4893
Epoch [27/100], lr:0.0026, Loss:0.0986, Time_for_epoch: 41.0792
Epoch [28/100], lr:0.0026, Loss:0.0933, Time_for_epoch: 37.6361
Epoch [29/100], lr:0.0027, Loss:0.0911, Time_for_epoch: 40.3019
