start Python
Time_data_preparation: 16.7663
Testing expression exp(sin(e))[2.31977682 2.48257773 1.15156284 0.46916419 0.383305   0.75622563
 1.9289708  2.68950792 1.51001334 0.58040966 0.36788304 0.5847488
 1.5222158  2.69286951 1.91609228 0.74983409 0.38235817 0.47190044
 1.16169159 2.49165027 2.30863315 0.99118775 0.42903344 0.40430798
 0.8760328  2.1437539  2.60224863 1.31115154 0.51497656 0.37230881
 0.66761899 1.73572758 2.71804225 1.69737457 0.65169236 0.3709163
 0.52543009 1.34496579 2.6216277  2.10667981 0.85331828 0.39990768
 0.4352761  1.01785953 2.34176174 2.46400567 1.13153274 0.46382189
 0.38529244 0.76922262 1.95468524 2.68217382 1.4857581  0.57190119
 0.36796952 0.59359916 1.54676361 2.69897656 1.89030465 0.73726298
 0.38055759 0.47750498 1.18217469 2.50935573 2.28605741 0.97379823
 0.42506211 0.40741308 0.89155797 2.16818558 2.58843812 1.28894411
 0.50825502 0.37338461 0.6785605  1.76139769 2.7169778  1.67192968
 0.64139315 0.37013456 0.53265146 1.36783443 2.63363352 2.08171135
 0.83855457 0.39714316 0.43963175 1.03603228 2.36332472 2.44488152
 1.11180799 0.45865083 0.38740596 0.78250733 1.98032647 2.6740328
 1.4617111  0.56361613 0.36817135 0.60268197]Epoch [1/100], lr:0.0023, Loss:1.4018, Time_for_epoch: 21.2386
Epoch [2/100], lr:0.0025, Loss:0.9498, Time_for_epoch: 16.7328
Epoch [3/100], lr:0.0012, Loss:0.6526, Time_for_epoch: 16.7158
Epoch [4/100], lr:0.0005, Loss:0.4564, Time_for_epoch: 16.7026
Epoch [5/100], lr:0.0004, Loss:0.3474, Time_for_epoch: 16.7078
Epoch [6/100], lr:0.0008, Loss:0.3849, Time_for_epoch: 16.7422
Epoch [7/100], lr:0.0019, Loss:0.5569, Time_for_epoch: 16.7269
Epoch [8/100], lr:0.0027, Loss:0.5375, Time_for_epoch: 16.7083
Epoch [9/100], lr:0.0015, Loss:0.3591, Time_for_epoch: 16.7151
Epoch [10/100], lr:0.0006, Loss:0.1864, Time_for_epoch: 16.7188
Epoch [11/100], lr:0.0004, Loss:0.0886, Time_for_epoch: 16.7344
Epoch [12/100], lr:0.0006, Loss:0.0826, Time_for_epoch: 16.7499
Epoch [13/100], lr:0.0015, Loss:0.3292, Time_for_epoch: 16.6821
Epoch [14/100], lr:0.0027, Loss:0.4108, Time_for_epoch: 16.6767
Epoch [15/100], lr:0.0019, Loss:0.2670, Time_for_epoch: 16.6741
Epoch [16/100], lr:0.0007, Loss:0.1063, Time_for_epoch: 16.7077
Epoch [17/100], lr:0.0004, Loss:0.0303, Time_for_epoch: 16.7174
Epoch [18/100], lr:0.0005, Loss:0.0134, Time_for_epoch: 16.7280
Epoch [19/100], lr:0.0012, Loss:0.1534, Time_for_epoch: 16.7228
Epoch [20/100], lr:0.0025, Loss:0.3424, Time_for_epoch: 16.7160
Epoch [21/100], lr:0.0023, Loss:0.2440, Time_for_epoch: 16.7243
Epoch [22/100], lr:0.0010, Loss:0.0923, Time_for_epoch: 16.7207
Epoch [23/100], lr:0.0004, Loss:0.0213, Time_for_epoch: 16.7145
Epoch [24/100], lr:0.0004, Loss:0.0079, Time_for_epoch: 16.7160
Epoch [25/100], lr:0.0009, Loss:0.0105, Time_for_epoch: 16.7160
Epoch [26/100], lr:0.0021, Loss:0.3316, Time_for_epoch: 16.7071
Epoch [27/100], lr:0.0026, Loss:0.2570, Time_for_epoch: 16.7154
Epoch [28/100], lr:0.0013, Loss:0.0928, Time_for_epoch: 16.7133
Epoch [29/100], lr:0.0005, Loss:0.0257, Time_for_epoch: 16.7126
Epoch [30/100], lr:0.0004, Loss:0.0065, Time_for_epoch: 16.7100
Epoch [31/100], lr:0.0007, Loss:0.0042, Time_for_epoch: 16.7189
Epoch [32/100], lr:0.0017, Loss:0.1795, Time_for_epoch: 16.7256
Epoch [33/100], lr:0.0027, Loss:0.2318, Time_for_epoch: 16.7107
Epoch [34/100], lr:0.0017, Loss:0.0977, Time_for_epoch: 16.7152
Epoch [35/100], lr:0.0007, Loss:0.0255, Time_for_epoch: 16.7093
Epoch [36/100], lr:0.0004, Loss:0.0064, Time_for_epoch: 16.7124
Epoch [37/100], lr:0.0005, Loss:0.0031, Time_for_epoch: 16.7081
Epoch [38/100], lr:0.0013, Loss:0.0675, Time_for_epoch: 16.7245
Epoch [39/100], lr:0.0026, Loss:0.2273, Time_for_epoch: 16.7067
Epoch [40/100], lr:0.0021, Loss:0.1047, Time_for_epoch: 16.7103
Epoch [41/100], lr:0.0009, Loss:0.0286, Time_for_epoch: 16.7063
Epoch [42/100], lr:0.0004, Loss:0.0056, Time_for_epoch: 16.7168
Epoch [43/100], lr:0.0004, Loss:0.0031, Time_for_epoch: 16.7094
Epoch [44/100], lr:0.0010, Loss:0.0027, Time_for_epoch: 16.7126
Epoch [45/100], lr:0.0023, Loss:0.2375, Time_for_epoch: 16.7147
Epoch [46/100], lr:0.0025, Loss:0.1410, Time_for_epoch: 16.7066
Epoch [47/100], lr:0.0011, Loss:0.0388, Time_for_epoch: 16.7105
Epoch [48/100], lr:0.0005, Loss:0.0080, Time_for_epoch: 16.7149
Epoch [49/100], lr:0.0004, Loss:0.0033, Time_for_epoch: 16.7152
Epoch [50/100], lr:0.0008, Loss:0.0023, Time_for_epoch: 16.7177
Epoch [51/100], lr:0.0020, Loss:0.1298, Time_for_epoch: 16.7008
Epoch [52/100], lr:0.0027, Loss:0.1461, Time_for_epoch: 16.7044
Epoch [53/100], lr:0.0015, Loss:0.0420, Time_for_epoch: 16.7279
Epoch [54/100], lr:0.0006, Loss:0.0084, Time_for_epoch: 16.7060
Epoch [55/100], lr:0.0004, Loss:0.0029, Time_for_epoch: 16.7109
Epoch [56/100], lr:0.0006, Loss:0.0019, Time_for_epoch: 16.7159
Epoch [57/100], lr:0.0015, Loss:0.0480, Time_for_epoch: 16.7011
Epoch [58/100], lr:0.0027, Loss:0.1626, Time_for_epoch: 16.7047
Epoch [59/100], lr:0.0019, Loss:0.0524, Time_for_epoch: 16.7107
Epoch [60/100], lr:0.0007, Loss:0.0117, Time_for_epoch: 16.7033
Epoch [61/100], lr:0.0004, Loss:0.0031, Time_for_epoch: 16.6981
Epoch [62/100], lr:0.0005, Loss:0.0019, Time_for_epoch: 16.7070
Epoch [63/100], lr:0.0012, Loss:0.0024, Time_for_epoch: 16.7059
Epoch [64/100], lr:0.0025, Loss:0.1634, Time_for_epoch: 16.7077
Epoch [65/100], lr:0.0023, Loss:0.0863, Time_for_epoch: 16.7013
Epoch [66/100], lr:0.0010, Loss:0.0219, Time_for_epoch: 16.6971
Epoch [67/100], lr:0.0004, Loss:0.0042, Time_for_epoch: 16.7011
Epoch [68/100], lr:0.0004, Loss:0.0025, Time_for_epoch: 16.7101
Epoch [69/100], lr:0.0009, Loss:0.0016, Time_for_epoch: 16.7048
Epoch [70/100], lr:0.0022, Loss:0.1052, Time_for_epoch: 16.6988
Epoch [71/100], lr:0.0026, Loss:0.1004, Time_for_epoch: 16.7095
Epoch [72/100], lr:0.0013, Loss:0.0271, Time_for_epoch: 16.7054
Epoch [73/100], lr:0.0005, Loss:0.0048, Time_for_epoch: 16.7193
Epoch [74/100], lr:0.0004, Loss:0.0022, Time_for_epoch: 16.7227
Epoch [75/100], lr:0.0007, Loss:0.0017, Time_for_epoch: 16.7256
Epoch [76/100], lr:0.0018, Loss:0.0278, Time_for_epoch: 16.7178
Epoch [77/100], lr:0.0027, Loss:0.1412, Time_for_epoch: 16.7068
Epoch [78/100], lr:0.0017, Loss:0.0324, Time_for_epoch: 16.6871
Epoch [79/100], lr:0.0006, Loss:0.0065, Time_for_epoch: 16.6826
Epoch [80/100], lr:0.0004, Loss:0.0024, Time_for_epoch: 16.6888
Epoch [81/100], lr:0.0005, Loss:0.0016, Time_for_epoch: 16.7102
Epoch [82/100], lr:0.0014, Loss:0.0032, Time_for_epoch: 16.7208
Epoch [83/100], lr:0.0026, Loss:0.1526, Time_for_epoch: 16.7036
Epoch [84/100], lr:0.0021, Loss:0.0368, Time_for_epoch: 16.7079
Epoch [85/100], lr:0.0008, Loss:0.0107, Time_for_epoch: 16.7085
Epoch [86/100], lr:0.0004, Loss:0.0027, Time_for_epoch: 16.7058
Epoch [87/100], lr:0.0004, Loss:0.0016, Time_for_epoch: 16.7050
Epoch [88/100], lr:0.0010, Loss:0.0009, Time_for_epoch: 16.7105
Epoch [89/100], lr:0.0024, Loss:0.1047, Time_for_epoch: 16.7105
Epoch [90/100], lr:0.0024, Loss:0.0640, Time_for_epoch: 16.6862
Epoch [91/100], lr:0.0011, Loss:0.0155, Time_for_epoch: 16.6910
Epoch [92/100], lr:0.0005, Loss:0.0033, Time_for_epoch: 16.6815
Epoch [93/100], lr:0.0004, Loss:0.0019, Time_for_epoch: 16.6785
Epoch [94/100], lr:0.0008, Loss:0.0014, Time_for_epoch: 16.6790
Epoch [95/100], lr:0.0020, Loss:0.0565, Time_for_epoch: 16.6886
Epoch [96/100], lr:0.0027, Loss:0.0775, Time_for_epoch: 16.6764
Epoch [97/100], lr:0.0015, Loss:0.0209, Time_for_epoch: 16.6807
Epoch [98/100], lr:0.0006, Loss:0.0040, Time_for_epoch: 16.6785
Epoch [99/100], lr:0.0004, Loss:0.0018, Time_for_epoch: 16.6780
Epoch [100/100], lr:0.0006, Loss:0.0012, Time_for_epoch: 16.6792
TestLoss: 0.7366, TestAccuracy: 0.8661, Time_for_individ: 1677.9190
Epoch [1/100], lr:0.0023, Loss:1.3882, Time_for_epoch: 16.6954
Epoch [2/100], lr:0.0025, Loss:0.9320, Time_for_epoch: 16.6891
Epoch [3/100], lr:0.0012, Loss:0.6490, Time_for_epoch: 16.6834
Epoch [4/100], lr:0.0005, Loss:0.4561, Time_for_epoch: 16.7094
Epoch [5/100], lr:0.0004, Loss:0.3475, Time_for_epoch: 16.7068
Epoch [6/100], lr:0.0008, Loss:0.3851, Time_for_epoch: 16.7146
Epoch [7/100], lr:0.0019, Loss:0.5459, Time_for_epoch: 16.7097
Epoch [8/100], lr:0.0027, Loss:0.5430, Time_for_epoch: 16.7068
Epoch [9/100], lr:0.0015, Loss:0.3592, Time_for_epoch: 16.7120
Epoch [10/100], lr:0.0006, Loss:0.1842, Time_for_epoch: 16.7122
Epoch [11/100], lr:0.0004, Loss:0.0877, Time_for_epoch: 16.7056
Epoch [12/100], lr:0.0006, Loss:0.0829, Time_for_epoch: 16.7111
Epoch [13/100], lr:0.0015, Loss:0.3215, Time_for_epoch: 16.7141
Epoch [14/100], lr:0.0027, Loss:0.4129, Time_for_epoch: 16.7108
Epoch [15/100], lr:0.0019, Loss:0.2725, Time_for_epoch: 16.7069
Epoch [16/100], lr:0.0007, Loss:0.1066, Time_for_epoch: 16.7101
Epoch [17/100], lr:0.0004, Loss:0.0318, Time_for_epoch: 16.7134
Epoch [18/100], lr:0.0005, Loss:0.0134, Time_for_epoch: 16.7150
Epoch [19/100], lr:0.0012, Loss:0.1632, Time_for_epoch: 16.7113
Epoch [20/100], lr:0.0025, Loss:0.3374, Time_for_epoch: 16.7166
Epoch [21/100], lr:0.0023, Loss:0.2427, Time_for_epoch: 16.7201
Epoch [22/100], lr:0.0010, Loss:0.0924, Time_for_epoch: 16.6988
