start Python
Time_data_preparation: 1.0781
Testing expression log(e)[0.         0.69314718 1.09861229 1.38629436 1.60943791 1.79175947
 1.94591015 2.07944154 2.19722458 2.30258509 2.39789527 2.48490665
 2.56494936 2.63905733 2.7080502  2.77258872 2.83321334 2.89037176
 2.94443898 2.99573227 3.04452244 3.09104245 3.13549422 3.17805383
 3.21887582 3.25809654 3.29583687 3.33220451 3.36729583 3.40119738
 3.4339872  3.4657359  3.49650756 3.52636052 3.55534806 3.58351894
 3.61091791 3.63758616 3.66356165 3.68887945 3.71357207 3.73766962
 3.76120012 3.78418963 3.80666249 3.8286414  3.8501476  3.87120101
 3.8918203  3.91202301 3.93182563 3.95124372 3.97029191 3.98898405
 4.00733319 4.02535169 4.04305127 4.06044301 4.07753744 4.09434456
 4.11087386 4.12713439 4.14313473 4.15888308 4.17438727 4.18965474
 4.20469262 4.21950771 4.2341065  4.24849524 4.26267988 4.27666612
 4.29045944 4.30406509 4.31748811 4.33073334 4.34380542 4.35670883
 4.36944785 4.38202663 4.39444915 4.40671925 4.41884061 4.4308168
 4.44265126 4.4543473  4.46590812 4.47733681 4.48863637 4.49980967
 4.51085951 4.52178858 4.53259949 4.54329478 4.55387689 4.56434819
 4.57471098 4.58496748 4.59511985 4.60517019]Epoch [1/100], lr:0.0000, Loss:2.3698, Time_for_epoch: 26.6405
Epoch [2/100], lr:0.0007, Loss:1.4347, Time_for_epoch: 22.2419
Epoch [3/100], lr:0.0011, Loss:1.0296, Time_for_epoch: 22.2223
Epoch [4/100], lr:0.0014, Loss:0.8170, Time_for_epoch: 22.2528
Epoch [5/100], lr:0.0016, Loss:0.6826, Time_for_epoch: 22.2828
Epoch [6/100], lr:0.0018, Loss:0.5882, Time_for_epoch: 22.2414
Epoch [7/100], lr:0.0019, Loss:0.5210, Time_for_epoch: 22.2502
Epoch [8/100], lr:0.0021, Loss:0.4672, Time_for_epoch: 22.2523
Epoch [9/100], lr:0.0022, Loss:0.4234, Time_for_epoch: 22.3072
Epoch [10/100], lr:0.0023, Loss:0.3860, Time_for_epoch: 22.2571
Epoch [11/100], lr:0.0024, Loss:0.3455, Time_for_epoch: 22.2721
Epoch [12/100], lr:0.0025, Loss:0.3206, Time_for_epoch: 22.1510
Epoch [13/100], lr:0.0026, Loss:0.2919, Time_for_epoch: 22.1939
Epoch [14/100], lr:0.0026, Loss:0.2705, Time_for_epoch: 22.2188
Epoch [15/100], lr:0.0027, Loss:0.2488, Time_for_epoch: 22.1919
Epoch [16/100], lr:0.0028, Loss:0.2328, Time_for_epoch: 22.1838
Epoch [17/100], lr:0.0028, Loss:0.2145, Time_for_epoch: 22.1837
Epoch [18/100], lr:0.0029, Loss:0.1978, Time_for_epoch: 22.1924
Epoch [19/100], lr:0.0029, Loss:0.1747, Time_for_epoch: 22.1846
Epoch [20/100], lr:0.0030, Loss:0.1740, Time_for_epoch: 22.1774
