start Python
Time_data_preparation: 1.0761
General 0
log(cos(-0.432217))
(-cos(x00))
(exp(x01)*(0.703275-(-0.880432)))
sin(cos(-1.188350))
(-(x01)**((-1.497571)))
(-sin(0.027047))
((x00-x00)*(2.718282/x00))
sin(sin(0.190319))
log((x00*x01))
(-(1.078782/0.093223))
((-(-1.786595))/((-0.540721))**(x00))
(cos(x00)-exp(2.476718))
((-x01)-(x01*0.365828))
(sin(x01)-1/(1.204077))
((x01*x01)/(x01+(-0.348308)))
((x01/(-0.136366))-(-x00))
(((-0.993216)-(-0.624810))-(-x01))
(log(3.141593, 1.044160)-exp(0.222804))
exp(exp(1.157957))
(log(1.230255, x01)/sin(3.141593))
Gen 0 Tree 0: Epoch [1/100], lr:-0.0001, Loss:32.6016, Time_for_epoch: 19.2592
Gen 0 Tree 0: Epoch [2/100], lr:-0.0001, Loss:95.4127, Time_for_epoch: 16.7802
Gen 0 Tree 0: Epoch [3/100], lr:-0.0001, Loss:166.4639, Time_for_epoch: 16.7868
Gen 0 Tree 0: Epoch [4/100], lr:-0.0001, Loss:252.0067, Time_for_epoch: 16.7893
Gen 0 Tree 0: Epoch [5/100], lr:-0.0001, Loss:351.9587, Time_for_epoch: 16.7780
Gen 0 Tree 0: Epoch [6/100], lr:-0.0001, Loss:461.4488, Time_for_epoch: 16.7984
Gen 0 Tree 0: Epoch [7/100], lr:-0.0001, Loss:581.5064, Time_for_epoch: 19.2597
Gen 0 Tree 0: Epoch [8/100], lr:-0.0001, Loss:710.3500, Time_for_epoch: 21.8001
Gen 0 Tree 0: Epoch [9/100], lr:-0.0001, Loss:841.3172, Time_for_epoch: 21.7254
Gen 0 Tree 0: Epoch [10/100], lr:-0.0001, Loss:992.0334, Time_for_epoch: 21.9912
Gen 0 Tree 0: Epoch [11/100], lr:-0.0001, Loss:1147.7429, Time_for_epoch: 21.8486
Gen 0 Tree 0: Epoch [12/100], lr:-0.0001, Loss:1317.6517, Time_for_epoch: 21.9117
Gen 0 Tree 0: Epoch [13/100], lr:-0.0001, Loss:1487.9185, Time_for_epoch: 21.7465
Gen 0 Tree 0: Epoch [14/100], lr:-0.0001, Loss:1665.1546, Time_for_epoch: 21.7714
Gen 0 Tree 0: Epoch [15/100], lr:-0.0001, Loss:1845.7625, Time_for_epoch: 21.8279
Gen 0 Tree 0: Epoch [16/100], lr:-0.0001, Loss:2044.2751, Time_for_epoch: 21.7790
Gen 0 Tree 0: Epoch [17/100], lr:-0.0001, Loss:2251.3312, Time_for_epoch: 21.8205
Gen 0 Tree 0: Epoch [18/100], lr:-0.0001, Loss:2457.8461, Time_for_epoch: 22.1399
Gen 0 Tree 0: Epoch [19/100], lr:-0.0001, Loss:2675.4924, Time_for_epoch: 22.1802
Gen 0 Tree 0: Epoch [20/100], lr:-0.0001, Loss:2891.1226, Time_for_epoch: 22.1235
Gen 0 Tree 0: Epoch [21/100], lr:-0.0001, Loss:3135.6382, Time_for_epoch: 22.1077
Gen 0 Tree 0: Epoch [22/100], lr:-0.0001, Loss:3370.6168, Time_for_epoch: 22.0395
Gen 0 Tree 0: Epoch [23/100], lr:-0.0001, Loss:3626.4999, Time_for_epoch: 22.0405
