start Python
Time_data_preparation: 1.0758
General 13
exp(cos(x00)-x00)
exp((0.029641*x01)-x00)
(0.615856*((x01-(-0.272221))/x00))
(0.754543*(x01)**(x00))
exp(cos(x00)-0.478629)
exp(1/(0.003709))
(log(x00)*((x01-(-0.272221))/x00))
exp(x01-log(x01, 0.402069))
exp(sin(0.823212))
exp(1/(0.130263))
exp((x01-x01))**(exp(x01))
exp(x01-x01)
exp(1/(0.823637)-x00)
((0.703275-x01)*(((x00)**((x00-x01))+(-0.891086))/x00))
exp((-0.448128)-x00)
exp(x01*0.907900)
exp((x01*x00)-(-0.436459))
((-exp(x00))/(x00*x01))
(exp(-0.242982)*(x01/1.078845))
exp(-0.274573)
exp(0.152792)
exp(x00)**((-0.018708))
exp(x00)
((x01-((-0.317296)-2.718282))/(x01+x00))
((x01-x00)*(x01)**(x00))
((x00)**((-0.798123))*(1.073440+x00))
exp(1/(x00))
exp(1/(x00)-x00)
Gen 13 Tree 0: Epoch [1/100], lr:0.0006, Loss:1.4460, Time_for_epoch: 19.3154
Gen 13 Tree 0: Epoch [2/100], lr:0.0001, Loss:0.9572, Time_for_epoch: 16.8330
Gen 13 Tree 0: Epoch [3/100], lr:0.0000, Loss:0.7935, Time_for_epoch: 16.8243
Gen 13 Tree 0: Epoch [4/100], lr:0.0000, Loss:0.7388, Time_for_epoch: 16.8063
Gen 13 Tree 0: Epoch [5/100], lr:0.0000, Loss:0.7132, Time_for_epoch: 16.8205
Gen 13 Tree 0: Epoch [6/100], lr:0.0000, Loss:0.6899, Time_for_epoch: 16.8251
Gen 13 Tree 0: Epoch [7/100], lr:0.0000, Loss:0.6715, Time_for_epoch: 16.8184
Gen 13 Tree 0: Epoch [8/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.8331
Gen 13 Tree 0: Epoch [9/100], lr:0.0000, Loss:0.6664, Time_for_epoch: 16.8169
Gen 13 Tree 0: Epoch [10/100], lr:0.0000, Loss:0.6663, Time_for_epoch: 16.8279
Gen 13 Tree 0: Epoch [11/100], lr:0.0000, Loss:0.6625, Time_for_epoch: 16.8251
Gen 13 Tree 0: Epoch [12/100], lr:0.0000, Loss:0.6654, Time_for_epoch: 16.8057
Gen 13 Tree 0: Epoch [13/100], lr:0.0000, Loss:0.6628, Time_for_epoch: 16.8206
Gen 13 Tree 0: Epoch [14/100], lr:0.0000, Loss:0.6635, Time_for_epoch: 16.8146
Gen 13 Tree 0: Epoch [15/100], lr:0.0000, Loss:0.6638, Time_for_epoch: 16.8093
Gen 13 Tree 0: Epoch [16/100], lr:0.0000, Loss:0.6651, Time_for_epoch: 16.8143
Gen 13 Tree 0: Epoch [17/100], lr:0.0000, Loss:0.6621, Time_for_epoch: 16.8239
Gen 13 Tree 0: Epoch [18/100], lr:0.0000, Loss:0.6664, Time_for_epoch: 16.8259
Gen 13 Tree 0: Epoch [19/100], lr:0.0000, Loss:0.6618, Time_for_epoch: 16.4629
Gen 13 Tree 0: Epoch [20/100], lr:0.0000, Loss:0.6661, Time_for_epoch: 16.4174
Gen 13 Tree 0: Epoch [21/100], lr:0.0000, Loss:0.6632, Time_for_epoch: 16.4075
Gen 13 Tree 0: Epoch [22/100], lr:0.0000, Loss:0.6642, Time_for_epoch: 16.4172
Gen 13 Tree 0: Epoch [23/100], lr:0.0000, Loss:0.6626, Time_for_epoch: 16.4072
Gen 13 Tree 0: Epoch [24/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.3992
Gen 13 Tree 0: Epoch [25/100], lr:0.0000, Loss:0.6631, Time_for_epoch: 16.4092
Gen 13 Tree 0: Epoch [26/100], lr:0.0000, Loss:0.6629, Time_for_epoch: 16.4074
Gen 13 Tree 0: Epoch [27/100], lr:0.0000, Loss:0.6630, Time_for_epoch: 16.4046
Gen 13 Tree 0: Epoch [28/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.4081
Gen 13 Tree 0: Epoch [29/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.4113
Gen 13 Tree 0: Epoch [30/100], lr:0.0000, Loss:0.6660, Time_for_epoch: 16.4068
Gen 13 Tree 0: Epoch [31/100], lr:0.0000, Loss:0.6649, Time_for_epoch: 16.4006
Gen 13 Tree 0: Epoch [32/100], lr:0.0000, Loss:0.6636, Time_for_epoch: 16.4107
Gen 13 Tree 0: Epoch [33/100], lr:0.0000, Loss:0.6637, Time_for_epoch: 16.4072
Gen 13 Tree 0: Epoch [34/100], lr:0.0000, Loss:0.6642, Time_for_epoch: 16.4009
Gen 13 Tree 0: Epoch [35/100], lr:0.0000, Loss:0.6645, Time_for_epoch: 16.4084
Gen 13 Tree 0: Epoch [36/100], lr:0.0000, Loss:0.6639, Time_for_epoch: 16.4004
Gen 13 Tree 0: Epoch [37/100], lr:0.0000, Loss:0.6645, Time_for_epoch: 16.4090
Gen 13 Tree 0: Epoch [38/100], lr:0.0000, Loss:0.6634, Time_for_epoch: 16.3938
Gen 13 Tree 0: Epoch [39/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.4015
Gen 13 Tree 0: Epoch [40/100], lr:0.0000, Loss:0.6629, Time_for_epoch: 16.4045
Gen 13 Tree 0: Epoch [41/100], lr:0.0000, Loss:0.6640, Time_for_epoch: 16.3988
Gen 13 Tree 0: Epoch [42/100], lr:0.0000, Loss:0.6644, Time_for_epoch: 16.4075
Gen 13 Tree 0: Epoch [43/100], lr:0.0000, Loss:0.6647, Time_for_epoch: 16.4016
Gen 13 Tree 0: Epoch [44/100], lr:0.0000, Loss:0.6636, Time_for_epoch: 16.4102
Gen 13 Tree 0: Epoch [45/100], lr:0.0000, Loss:0.6649, Time_for_epoch: 16.3942
Gen 13 Tree 0: Epoch [46/100], lr:0.0000, Loss:0.6630, Time_for_epoch: 16.3959
Gen 13 Tree 0: Epoch [47/100], lr:0.0000, Loss:0.6663, Time_for_epoch: 16.4020
Gen 13 Tree 0: Epoch [48/100], lr:0.0000, Loss:0.6633, Time_for_epoch: 16.3964
Gen 13 Tree 0: Epoch [49/100], lr:0.0000, Loss:0.6621, Time_for_epoch: 16.4022
Gen 13 Tree 0: Epoch [50/100], lr:0.0000, Loss:0.6633, Time_for_epoch: 16.4026
Gen 13 Tree 0: Epoch [51/100], lr:0.0000, Loss:0.6624, Time_for_epoch: 16.4127
Gen 13 Tree 0: Epoch [52/100], lr:0.0000, Loss:0.6636, Time_for_epoch: 16.4116
Gen 13 Tree 0: Epoch [53/100], lr:0.0000, Loss:0.6653, Time_for_epoch: 16.4137
Gen 13 Tree 0: Epoch [54/100], lr:0.0000, Loss:0.6653, Time_for_epoch: 16.4236
Gen 13 Tree 0: Epoch [55/100], lr:0.0000, Loss:0.6647, Time_for_epoch: 16.4198
Gen 13 Tree 0: Epoch [56/100], lr:0.0000, Loss:0.6642, Time_for_epoch: 16.4236
Gen 13 Tree 0: Epoch [57/100], lr:0.0000, Loss:0.6649, Time_for_epoch: 16.4247
Gen 13 Tree 0: Epoch [58/100], lr:0.0000, Loss:0.6654, Time_for_epoch: 16.4204
Gen 13 Tree 0: Epoch [59/100], lr:0.0000, Loss:0.6656, Time_for_epoch: 16.4234
Gen 13 Tree 0: Epoch [60/100], lr:0.0000, Loss:0.6628, Time_for_epoch: 16.4192
Gen 13 Tree 0: Epoch [61/100], lr:0.0000, Loss:0.6645, Time_for_epoch: 16.4263
Gen 13 Tree 0: Epoch [62/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.4103
Gen 13 Tree 0: Epoch [63/100], lr:0.0000, Loss:0.6642, Time_for_epoch: 16.4166
Gen 13 Tree 0: Epoch [64/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.7300
Gen 13 Tree 0: Epoch [65/100], lr:0.0000, Loss:0.6665, Time_for_epoch: 16.8285
Gen 13 Tree 0: Epoch [66/100], lr:0.0000, Loss:0.6648, Time_for_epoch: 16.8317
Gen 13 Tree 0: Epoch [67/100], lr:0.0000, Loss:0.6656, Time_for_epoch: 16.8333
Gen 13 Tree 0: Epoch [68/100], lr:0.0000, Loss:0.6667, Time_for_epoch: 16.8312
Gen 13 Tree 0: Epoch [69/100], lr:0.0000, Loss:0.6634, Time_for_epoch: 16.8301
Gen 13 Tree 0: Epoch [70/100], lr:0.0000, Loss:0.6644, Time_for_epoch: 16.8294
Gen 13 Tree 0: Epoch [71/100], lr:0.0000, Loss:0.6629, Time_for_epoch: 16.8386
Gen 13 Tree 0: Epoch [72/100], lr:0.0000, Loss:0.6643, Time_for_epoch: 16.8389
Gen 13 Tree 0: Epoch [73/100], lr:0.0000, Loss:0.6636, Time_for_epoch: 16.8337
Gen 13 Tree 0: Epoch [74/100], lr:0.0000, Loss:0.6649, Time_for_epoch: 16.8333
Gen 13 Tree 0: Epoch [75/100], lr:0.0000, Loss:0.6660, Time_for_epoch: 16.8346
Gen 13 Tree 0: Epoch [76/100], lr:0.0000, Loss:0.6615, Time_for_epoch: 16.8413
Gen 13 Tree 0: Epoch [77/100], lr:0.0000, Loss:0.6627, Time_for_epoch: 16.8225
Gen 13 Tree 0: Epoch [78/100], lr:0.0000, Loss:0.6671, Time_for_epoch: 16.8209
Gen 13 Tree 0: Epoch [79/100], lr:0.0000, Loss:0.6650, Time_for_epoch: 16.8277
Gen 13 Tree 0: Epoch [80/100], lr:0.0000, Loss:0.6635, Time_for_epoch: 16.8361
Gen 13 Tree 0: Epoch [81/100], lr:0.0000, Loss:0.6633, Time_for_epoch: 16.8229
Gen 13 Tree 0: Epoch [82/100], lr:0.0000, Loss:0.6638, Time_for_epoch: 16.8259
Gen 13 Tree 0: Epoch [83/100], lr:0.0000, Loss:0.6655, Time_for_epoch: 16.8494
Gen 13 Tree 0: Epoch [84/100], lr:0.0000, Loss:0.6653, Time_for_epoch: 16.8417
Gen 13 Tree 0: Epoch [85/100], lr:0.0000, Loss:0.6645, Time_for_epoch: 16.8459
Gen 13 Tree 0: Epoch [86/100], lr:0.0000, Loss:0.6641, Time_for_epoch: 16.8243
Gen 13 Tree 0: Epoch [87/100], lr:0.0000, Loss:0.6635, Time_for_epoch: 16.5287
Gen 13 Tree 0: Epoch [88/100], lr:0.0000, Loss:0.6627, Time_for_epoch: 16.4089
Gen 13 Tree 0: Epoch [89/100], lr:0.0000, Loss:0.6631, Time_for_epoch: 16.4159
Gen 13 Tree 0: Epoch [90/100], lr:0.0000, Loss:0.6648, Time_for_epoch: 16.4013
Gen 13 Tree 0: Epoch [91/100], lr:0.0000, Loss:0.6646, Time_for_epoch: 16.4047
Gen 13 Tree 0: Epoch [92/100], lr:0.0000, Loss:0.6640, Time_for_epoch: 16.3994
Gen 13 Tree 0: Epoch [93/100], lr:0.0000, Loss:0.6649, Time_for_epoch: 16.3971
Gen 13 Tree 0: Epoch [94/100], lr:0.0000, Loss:0.6644, Time_for_epoch: 16.3932
Gen 13 Tree 0: Epoch [95/100], lr:0.0000, Loss:0.6633, Time_for_epoch: 16.4045
Gen 13 Tree 0: Epoch [96/100], lr:0.0000, Loss:0.6644, Time_for_epoch: 16.4017
Gen 13 Tree 0: Epoch [97/100], lr:0.0000, Loss:0.6644, Time_for_epoch: 16.4072
Gen 13 Tree 0: Epoch [98/100], lr:0.0000, Loss:0.6628, Time_for_epoch: 16.4047
Gen 13 Tree 0: Epoch [99/100], lr:0.0000, Loss:0.6648, Time_for_epoch: 16.3852
Gen 13 Tree 0: Epoch [100/100], lr:0.0000, Loss:0.6657, Time_for_epoch: 16.3895
Tree 0: TestLoss: 0.9534, TestAccuracy: 0.6609, Time_for_individ: 1663.0525
Gen 13 Tree 1: Epoch [1/100], lr:0.0004, Loss:1.5245, Time_for_epoch: 16.4450
Gen 13 Tree 1: Epoch [2/100], lr:0.0001, Loss:1.0420, Time_for_epoch: 16.4518
Gen 13 Tree 1: Epoch [3/100], lr:0.0000, Loss:0.8022, Time_for_epoch: 16.4508
Gen 13 Tree 1: Epoch [4/100], lr:0.0000, Loss:0.6558, Time_for_epoch: 16.4450
Gen 13 Tree 1: Epoch [5/100], lr:0.0000, Loss:0.5914, Time_for_epoch: 16.4386
Gen 13 Tree 1: Epoch [6/100], lr:0.0000, Loss:0.5679, Time_for_epoch: 16.4387
