start Python
Time_data_preparation: 1.1184
General 0
exp(exp(0.435222))
((0.148270-0.646770)-(x00)**(0.188513))
(sin(-0.187363)/((-1.193145)/3.141593))
Gen 0 Tree 0: Epoch [1/100], lr:0.0047, Loss:1.5393, Time_for_epoch: 35.1681
Gen 0 Tree 0: Epoch [2/100], lr:0.0047, Loss:1.0313, Time_for_epoch: 34.6149
Gen 0 Tree 0: Epoch [3/100], lr:0.0047, Loss:0.7978, Time_for_epoch: 34.5253
Gen 0 Tree 0: Epoch [4/100], lr:0.0047, Loss:0.6693, Time_for_epoch: 34.5110
Gen 0 Tree 0: Epoch [5/100], lr:0.0047, Loss:0.5806, Time_for_epoch: 34.5471
Gen 0 Tree 0: Epoch [6/100], lr:0.0047, Loss:0.5105, Time_for_epoch: 34.6536
Gen 0 Tree 0: Epoch [7/100], lr:0.0047, Loss:0.4597, Time_for_epoch: 34.6236
Gen 0 Tree 0: Epoch [8/100], lr:0.0047, Loss:0.4167, Time_for_epoch: 34.6219
Gen 0 Tree 0: Epoch [9/100], lr:0.0047, Loss:0.3748, Time_for_epoch: 34.7458
Gen 0 Tree 0: Epoch [10/100], lr:0.0047, Loss:0.3372, Time_for_epoch: 34.6121
Gen 0 Tree 0: Epoch [11/100], lr:0.0047, Loss:0.3098, Time_for_epoch: 34.6114
Gen 0 Tree 0: Epoch [12/100], lr:0.0047, Loss:0.2807, Time_for_epoch: 34.6394
Gen 0 Tree 0: Epoch [13/100], lr:0.0047, Loss:0.2566, Time_for_epoch: 34.6182
Gen 0 Tree 0: Epoch [14/100], lr:0.0047, Loss:0.2342, Time_for_epoch: 34.6670
Gen 0 Tree 0: Epoch [15/100], lr:0.0047, Loss:0.2137, Time_for_epoch: 34.6468
Gen 0 Tree 0: Epoch [16/100], lr:0.0047, Loss:0.1955, Time_for_epoch: 34.6297
Gen 0 Tree 0: Epoch [17/100], lr:0.0047, Loss:0.1788, Time_for_epoch: 34.6017
Gen 0 Tree 0: Epoch [18/100], lr:0.0047, Loss:0.1660, Time_for_epoch: 34.6119
Gen 0 Tree 0: Epoch [19/100], lr:0.0047, Loss:0.1498, Time_for_epoch: 34.6363
Gen 0 Tree 0: Epoch [20/100], lr:0.0047, Loss:0.1430, Time_for_epoch: 34.6362
Gen 0 Tree 0: Epoch [21/100], lr:0.0047, Loss:0.1330, Time_for_epoch: 34.6174
Gen 0 Tree 0: Epoch [22/100], lr:0.0047, Loss:0.1165, Time_for_epoch: 34.6376
Gen 0 Tree 0: Epoch [23/100], lr:0.0047, Loss:0.1086, Time_for_epoch: 34.6250
Gen 0 Tree 0: Epoch [24/100], lr:0.0047, Loss:0.1123, Time_for_epoch: 34.6421
Gen 0 Tree 0: Epoch [25/100], lr:0.0047, Loss:0.1072, Time_for_epoch: 34.6767
Gen 0 Tree 0: Epoch [26/100], lr:0.0047, Loss:0.0897, Time_for_epoch: 34.6665
Gen 0 Tree 0: Epoch [27/100], lr:0.0047, Loss:0.0916, Time_for_epoch: 34.6781
Gen 0 Tree 0: Epoch [28/100], lr:0.0047, Loss:0.0958, Time_for_epoch: 34.6993
Gen 0 Tree 0: Epoch [29/100], lr:0.0047, Loss:0.0810, Time_for_epoch: 34.6097
Gen 0 Tree 0: Epoch [30/100], lr:0.0047, Loss:0.0823, Time_for_epoch: 34.5155
Gen 0 Tree 0: Epoch [31/100], lr:0.0047, Loss:0.0731, Time_for_epoch: 34.4983
Gen 0 Tree 0: Epoch [32/100], lr:0.0047, Loss:0.0785, Time_for_epoch: 34.4960
Gen 0 Tree 0: Epoch [33/100], lr:0.0047, Loss:0.0658, Time_for_epoch: 34.5040
Gen 0 Tree 0: Epoch [34/100], lr:0.0047, Loss:0.0690, Time_for_epoch: 34.4922
Gen 0 Tree 0: Epoch [35/100], lr:0.0047, Loss:0.0740, Time_for_epoch: 34.4975
Gen 0 Tree 0: Epoch [36/100], lr:0.0047, Loss:0.0600, Time_for_epoch: 34.4984
Gen 0 Tree 0: Epoch [37/100], lr:0.0047, Loss:0.0671, Time_for_epoch: 34.4962
Gen 0 Tree 0: Epoch [38/100], lr:0.0047, Loss:0.0548, Time_for_epoch: 34.5233
Gen 0 Tree 0: Epoch [39/100], lr:0.0047, Loss:0.0609, Time_for_epoch: 34.5954
Gen 0 Tree 0: Epoch [40/100], lr:0.0047, Loss:0.0591, Time_for_epoch: 34.5505
Gen 0 Tree 0: Epoch [41/100], lr:0.0047, Loss:0.0543, Time_for_epoch: 34.4781
