start Python
Time_data_preparation: 1.1188
General 0
log((0.803732)**(1.343144))
exp(x00)**(0.268522)
Gen 0 Tree 0: Epoch [1/100], lr:-0.0003, Loss:95.1894, Time_for_epoch: 35.1173
Gen 0 Tree 0: Epoch [2/100], lr:-0.0003, Loss:358.4760, Time_for_epoch: 34.6715
Gen 0 Tree 0: Epoch [3/100], lr:-0.0003, Loss:739.7320, Time_for_epoch: 34.7146
Gen 0 Tree 0: Epoch [4/100], lr:-0.0003, Loss:1249.1033, Time_for_epoch: 34.7283
Gen 0 Tree 0: Epoch [5/100], lr:-0.0003, Loss:1894.0581, Time_for_epoch: 34.7668
Gen 0 Tree 0: Epoch [6/100], lr:-0.0003, Loss:2636.2189, Time_for_epoch: 34.7631
Gen 0 Tree 0: Epoch [7/100], lr:-0.0003, Loss:3443.8332, Time_for_epoch: 34.7971
Gen 0 Tree 0: Epoch [8/100], lr:-0.0003, Loss:4320.2562, Time_for_epoch: 34.8447
Gen 0 Tree 0: Epoch [9/100], lr:-0.0003, Loss:5358.1685, Time_for_epoch: 34.8119
Gen 0 Tree 0: Epoch [10/100], lr:-0.0003, Loss:6467.1737, Time_for_epoch: 34.8309
Gen 0 Tree 0: Epoch [11/100], lr:-0.0003, Loss:7684.3938, Time_for_epoch: 34.8964
Gen 0 Tree 0: Epoch [12/100], lr:-0.0003, Loss:8888.2901, Time_for_epoch: 34.7888
Gen 0 Tree 0: Epoch [13/100], lr:-0.0003, Loss:10247.7732, Time_for_epoch: 34.7583
Tree 0 is not valid
Gen 0 Tree 1: Epoch [1/100], lr:0.0013, Loss:1.3864, Time_for_epoch: 34.8333
Gen 0 Tree 1: Epoch [2/100], lr:0.0017, Loss:0.9537, Time_for_epoch: 34.8159
Gen 0 Tree 1: Epoch [3/100], lr:0.0022, Loss:0.7775, Time_for_epoch: 34.7968
Gen 0 Tree 1: Epoch [4/100], lr:0.0029, Loss:0.6700, Time_for_epoch: 34.8061
Gen 0 Tree 1: Epoch [5/100], lr:0.0038, Loss:0.6134, Time_for_epoch: 34.8052
Gen 0 Tree 1: Epoch [6/100], lr:0.0050, Loss:0.5648, Time_for_epoch: 34.8219
Gen 0 Tree 1: Epoch [7/100], lr:0.0066, Loss:0.5501, Time_for_epoch: 34.8405
Gen 0 Tree 1: Epoch [8/100], lr:0.0086, Loss:0.5230, Time_for_epoch: 34.8110
Gen 0 Tree 1: Epoch [9/100], lr:0.0112, Loss:0.5186, Time_for_epoch: 34.7748
Gen 0 Tree 1: Epoch [10/100], lr:0.0147, Loss:0.5198, Time_for_epoch: 34.7498
Gen 0 Tree 1: Epoch [11/100], lr:0.0192, Loss:0.5244, Time_for_epoch: 34.7601
Gen 0 Tree 1: Epoch [12/100], lr:0.0251, Loss:0.5359, Time_for_epoch: 34.7489
Gen 0 Tree 1: Epoch [13/100], lr:0.0328, Loss:0.5346, Time_for_epoch: 34.7339
Gen 0 Tree 1: Epoch [14/100], lr:0.0429, Loss:0.5514, Time_for_epoch: 34.7015
Gen 0 Tree 1: Epoch [15/100], lr:0.0561, Loss:0.5679, Time_for_epoch: 34.7092
Gen 0 Tree 1: Epoch [16/100], lr:0.0734, Loss:0.5653, Time_for_epoch: 34.6852
Gen 0 Tree 1: Epoch [17/100], lr:0.0961, Loss:0.5858, Time_for_epoch: 34.6504
Gen 0 Tree 1: Epoch [18/100], lr:0.1256, Loss:0.5857, Time_for_epoch: 34.6426
Gen 0 Tree 1: Epoch [19/100], lr:0.1643, Loss:0.6186, Time_for_epoch: 34.6889
Gen 0 Tree 1: Epoch [20/100], lr:0.2150, Loss:0.6346, Time_for_epoch: 34.7013
Gen 0 Tree 1: Epoch [21/100], lr:0.2812, Loss:nan, Time_for_epoch: 33.5244
Tree 1 is not valid
Открытие файла для записи losses
Закрытие файла для записи losses
Time_whole_program: 1181.6264 seconds
General 1
exp((x01+(-0.116917))-1.816487)
exp(exp(1/(1.991350)))
(0.703275*cos(x01))
Gen 1 Tree 0: Epoch [1/100], lr:0.0001, Loss:1.6350, Time_for_epoch: 34.4563
Gen 1 Tree 0: Epoch [2/100], lr:0.0001, Loss:1.2788, Time_for_epoch: 34.4974
Gen 1 Tree 0: Epoch [3/100], lr:0.0001, Loss:1.0707, Time_for_epoch: 34.5385
Gen 1 Tree 0: Epoch [4/100], lr:0.0001, Loss:0.8907, Time_for_epoch: 34.5747
Gen 1 Tree 0: Epoch [5/100], lr:0.0001, Loss:0.7363, Time_for_epoch: 34.6405
Gen 1 Tree 0: Epoch [6/100], lr:0.0001, Loss:0.5900, Time_for_epoch: 34.6642
Gen 1 Tree 0: Epoch [7/100], lr:0.0001, Loss:0.4670, Time_for_epoch: 34.7113
Gen 1 Tree 0: Epoch [8/100], lr:0.0001, Loss:0.3565, Time_for_epoch: 34.7678
Gen 1 Tree 0: Epoch [9/100], lr:0.0001, Loss:0.2809, Time_for_epoch: 34.7504
Gen 1 Tree 0: Epoch [10/100], lr:0.0001, Loss:0.2204, Time_for_epoch: 34.7538
Gen 1 Tree 0: Epoch [11/100], lr:0.0001, Loss:0.1567, Time_for_epoch: 34.7109
Gen 1 Tree 0: Epoch [12/100], lr:0.0001, Loss:0.1153, Time_for_epoch: 34.6913
Gen 1 Tree 0: Epoch [13/100], lr:0.0001, Loss:0.1141, Time_for_epoch: 34.6938
Gen 1 Tree 0: Epoch [14/100], lr:0.0001, Loss:0.1033, Time_for_epoch: 34.7050
Gen 1 Tree 0: Epoch [15/100], lr:0.0001, Loss:0.1070, Time_for_epoch: 34.7531
Gen 1 Tree 0: Epoch [16/100], lr:0.0001, Loss:0.1037, Time_for_epoch: 34.7313
Gen 1 Tree 0: Epoch [17/100], lr:0.0001, Loss:0.0918, Time_for_epoch: 34.7303
Gen 1 Tree 0: Epoch [18/100], lr:0.0001, Loss:0.0756, Time_for_epoch: 34.7340
Gen 1 Tree 0: Epoch [19/100], lr:0.0001, Loss:0.0842, Time_for_epoch: 34.7623
Gen 1 Tree 0: Epoch [20/100], lr:0.0001, Loss:0.0865, Time_for_epoch: 34.7434
Gen 1 Tree 0: Epoch [21/100], lr:0.0001, Loss:0.0938, Time_for_epoch: 34.7421
Gen 1 Tree 0: Epoch [22/100], lr:0.0001, Loss:0.0943, Time_for_epoch: 34.7453
Gen 1 Tree 0: Epoch [23/100], lr:0.0001, Loss:0.0768, Time_for_epoch: 34.7473
Gen 1 Tree 0: Epoch [24/100], lr:0.0001, Loss:0.0761, Time_for_epoch: 34.7532
Gen 1 Tree 0: Epoch [25/100], lr:0.0001, Loss:0.0734, Time_for_epoch: 34.7682
Gen 1 Tree 0: Epoch [26/100], lr:0.0001, Loss:0.0725, Time_for_epoch: 34.7592
Gen 1 Tree 0: Epoch [27/100], lr:0.0001, Loss:0.0734, Time_for_epoch: 34.7488
Gen 1 Tree 0: Epoch [28/100], lr:0.0001, Loss:0.0664, Time_for_epoch: 34.7474
Gen 1 Tree 0: Epoch [29/100], lr:0.0001, Loss:0.0683, Time_for_epoch: 34.7602
Gen 1 Tree 0: Epoch [30/100], lr:0.0001, Loss:0.0648, Time_for_epoch: 34.7554
Gen 1 Tree 0: Epoch [31/100], lr:0.0001, Loss:0.0715, Time_for_epoch: 34.7503
Gen 1 Tree 0: Epoch [32/100], lr:0.0001, Loss:0.0711, Time_for_epoch: 34.7488
Gen 1 Tree 0: Epoch [33/100], lr:0.0001, Loss:0.0609, Time_for_epoch: 34.7560
Gen 1 Tree 0: Epoch [34/100], lr:0.0001, Loss:0.0613, Time_for_epoch: 34.7596
Gen 1 Tree 0: Epoch [35/100], lr:0.0001, Loss:0.0544, Time_for_epoch: 34.7604
Gen 1 Tree 0: Epoch [36/100], lr:0.0001, Loss:0.0608, Time_for_epoch: 34.7294
Gen 1 Tree 0: Epoch [37/100], lr:0.0001, Loss:0.0614, Time_for_epoch: 34.7267
Gen 1 Tree 0: Epoch [38/100], lr:0.0001, Loss:0.0523, Time_for_epoch: 34.7231
Gen 1 Tree 0: Epoch [39/100], lr:0.0001, Loss:0.0600, Time_for_epoch: 34.7293
Gen 1 Tree 0: Epoch [40/100], lr:0.0001, Loss:0.0513, Time_for_epoch: 34.7507
Gen 1 Tree 0: Epoch [41/100], lr:0.0001, Loss:0.0550, Time_for_epoch: 34.7927
Gen 1 Tree 0: Epoch [42/100], lr:0.0001, Loss:0.0525, Time_for_epoch: 34.8006
Gen 1 Tree 0: Epoch [43/100], lr:0.0001, Loss:0.0556, Time_for_epoch: 34.7376
Gen 1 Tree 0: Epoch [44/100], lr:0.0001, Loss:0.0509, Time_for_epoch: 34.7380
Gen 1 Tree 0: Epoch [45/100], lr:0.0001, Loss:0.0422, Time_for_epoch: 34.7386
Gen 1 Tree 0: Epoch [46/100], lr:0.0001, Loss:0.0435, Time_for_epoch: 34.7505
Gen 1 Tree 0: Epoch [47/100], lr:0.0001, Loss:0.0489, Time_for_epoch: 34.7742
Gen 1 Tree 0: Epoch [48/100], lr:0.0001, Loss:0.0427, Time_for_epoch: 34.7953
Gen 1 Tree 0: Epoch [49/100], lr:0.0001, Loss:0.0498, Time_for_epoch: 34.7790
