start Python
Time_data_preparation: 1.1926
General 0
(-(0.637926/(-1.428999)))
((1.271180*0.252407)+(x01/x00))
cos(x01/x01)
(-1/(0.372426))
sin(x00*(-1.426609))
(log(x01, 1.208820)-(0.620407)**(x00))
1/(0.840938*x01)
(log(0.520062)*cos(0.806777))
1/((-0.022412)+x01)
exp(x01*(-0.377991))
((0.135302-x01))**(((-0.472126)*x00))
(-(-x00))
1/(exp(-0.176681))
Gen 0 Tree 0: Epoch [1/100], lr:0.0004, Loss:1.4835, Time_for_epoch: 26.8412
Gen 0 Tree 0: Epoch [2/100], lr:0.0004, Loss:1.0559, Time_for_epoch: 23.1511
Gen 0 Tree 0: Epoch [3/100], lr:0.0004, Loss:0.8254, Time_for_epoch: 23.1597
Gen 0 Tree 0: Epoch [4/100], lr:0.0004, Loss:0.6531, Time_for_epoch: 23.1133
Gen 0 Tree 0: Epoch [5/100], lr:0.0004, Loss:0.5347, Time_for_epoch: 23.1502
Gen 0 Tree 0: Epoch [6/100], lr:0.0004, Loss:0.4248, Time_for_epoch: 23.1397
Gen 0 Tree 0: Epoch [7/100], lr:0.0004, Loss:0.3408, Time_for_epoch: 23.1403
Gen 0 Tree 0: Epoch [8/100], lr:0.0004, Loss:0.2755, Time_for_epoch: 22.9092
Gen 0 Tree 0: Epoch [9/100], lr:0.0004, Loss:0.2264, Time_for_epoch: 22.8724
Gen 0 Tree 0: Epoch [10/100], lr:0.0004, Loss:0.1905, Time_for_epoch: 22.8704
Gen 0 Tree 0: Epoch [11/100], lr:0.0004, Loss:0.1581, Time_for_epoch: 22.8695
Gen 0 Tree 0: Epoch [12/100], lr:0.0004, Loss:0.1426, Time_for_epoch: 22.8716
Gen 0 Tree 0: Epoch [13/100], lr:0.0004, Loss:0.1258, Time_for_epoch: 22.8758
Gen 0 Tree 0: Epoch [14/100], lr:0.0004, Loss:0.1164, Time_for_epoch: 22.8671
Gen 0 Tree 0: Epoch [15/100], lr:0.0004, Loss:0.1117, Time_for_epoch: 22.9105
Gen 0 Tree 0: Epoch [16/100], lr:0.0004, Loss:0.0948, Time_for_epoch: 23.0364
Gen 0 Tree 0: Epoch [17/100], lr:0.0004, Loss:0.0979, Time_for_epoch: 23.1843
Gen 0 Tree 0: Epoch [18/100], lr:0.0004, Loss:0.0809, Time_for_epoch: 23.1760
Gen 0 Tree 0: Epoch [19/100], lr:0.0004, Loss:0.0849, Time_for_epoch: 23.1790
Gen 0 Tree 0: Epoch [20/100], lr:0.0004, Loss:0.0846, Time_for_epoch: 23.1817
Gen 0 Tree 0: Epoch [21/100], lr:0.0004, Loss:0.0868, Time_for_epoch: 23.1513
Gen 0 Tree 0: Epoch [22/100], lr:0.0004, Loss:0.0750, Time_for_epoch: 23.1169
Gen 0 Tree 0: Epoch [23/100], lr:0.0004, Loss:0.0677, Time_for_epoch: 23.1332
Gen 0 Tree 0: Epoch [24/100], lr:0.0004, Loss:0.0707, Time_for_epoch: 23.0809
Gen 0 Tree 0: Epoch [25/100], lr:0.0004, Loss:0.0580, Time_for_epoch: 23.0938
Gen 0 Tree 0: Epoch [26/100], lr:0.0004, Loss:0.0753, Time_for_epoch: 23.0890
Gen 0 Tree 0: Epoch [27/100], lr:0.0004, Loss:0.0641, Time_for_epoch: 23.0489
Gen 0 Tree 0: Epoch [28/100], lr:0.0004, Loss:0.0589, Time_for_epoch: 23.0412
Gen 0 Tree 0: Epoch [29/100], lr:0.0004, Loss:0.0643, Time_for_epoch: 23.0213
Gen 0 Tree 0: Epoch [30/100], lr:0.0004, Loss:0.0595, Time_for_epoch: 23.0773
Gen 0 Tree 0: Epoch [31/100], lr:0.0004, Loss:0.0546, Time_for_epoch: 23.0310
Gen 0 Tree 0: Epoch [32/100], lr:0.0004, Loss:0.0494, Time_for_epoch: 23.0852
Gen 0 Tree 0: Epoch [33/100], lr:0.0004, Loss:0.0608, Time_for_epoch: 23.1225
Gen 0 Tree 0: Epoch [34/100], lr:0.0004, Loss:0.0569, Time_for_epoch: 23.1459
Gen 0 Tree 0: Epoch [35/100], lr:0.0004, Loss:0.0426, Time_for_epoch: 23.2248
Gen 0 Tree 0: Epoch [36/100], lr:0.0004, Loss:0.0436, Time_for_epoch: 23.1471
Gen 0 Tree 0: Epoch [37/100], lr:0.0004, Loss:0.0584, Time_for_epoch: 23.1793
Gen 0 Tree 0: Epoch [38/100], lr:0.0004, Loss:0.0485, Time_for_epoch: 23.1832
Gen 0 Tree 0: Epoch [39/100], lr:0.0004, Loss:0.0460, Time_for_epoch: 23.1475
Gen 0 Tree 0: Epoch [40/100], lr:0.0004, Loss:0.0390, Time_for_epoch: 22.9098
