start Python
Time_data_preparation: 1.2040
General 0
(sin(3.141593)*cos(0.433665))
sin(exp(0.143431))
((x00/x01)/((-0.131818)/(-0.406578)))
(sin(x01)*1/(-0.128106))
cos(cos(0.249268))
log((x00/2.075837), (0.685211)**(x01))
1/(x01+0.557923)
1/(1/(-0.576128))
((-(-0.443794))-log(x00))
exp(x01-1.816487)
(-exp(x00))
sin((-0.285104)-1.012083)
Gen 0 Tree 0: Epoch [1/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 26.7728
Gen 0 Tree 0: Epoch [2/100], lr:-0.0000, Loss:2.3488, Time_for_epoch: 23.1905
Gen 0 Tree 0: Epoch [3/100], lr:-0.0000, Loss:2.3483, Time_for_epoch: 23.2056
Gen 0 Tree 0: Epoch [4/100], lr:-0.0000, Loss:2.3482, Time_for_epoch: 23.1566
Gen 0 Tree 0: Epoch [5/100], lr:-0.0000, Loss:2.3488, Time_for_epoch: 23.1386
Gen 0 Tree 0: Epoch [6/100], lr:-0.0000, Loss:2.3484, Time_for_epoch: 23.0055
Gen 0 Tree 0: Epoch [7/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 23.0633
Gen 0 Tree 0: Epoch [8/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 23.0440
Gen 0 Tree 0: Epoch [9/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 22.9910
Gen 0 Tree 0: Epoch [10/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 23.0227
Gen 0 Tree 0: Epoch [11/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 22.9942
Gen 0 Tree 0: Epoch [12/100], lr:-0.0000, Loss:2.3482, Time_for_epoch: 23.0441
Gen 0 Tree 0: Epoch [13/100], lr:-0.0000, Loss:2.3483, Time_for_epoch: 22.9968
Gen 0 Tree 0: Epoch [14/100], lr:-0.0000, Loss:2.3490, Time_for_epoch: 23.0134
Gen 0 Tree 0: Epoch [15/100], lr:-0.0000, Loss:2.3483, Time_for_epoch: 23.0231
Gen 0 Tree 0: Epoch [16/100], lr:-0.0000, Loss:2.3483, Time_for_epoch: 22.8596
Gen 0 Tree 0: Epoch [17/100], lr:-0.0000, Loss:2.3484, Time_for_epoch: 22.8432
Gen 0 Tree 0: Epoch [18/100], lr:-0.0000, Loss:2.3484, Time_for_epoch: 22.8885
Gen 0 Tree 0: Epoch [19/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 22.9244
Gen 0 Tree 0: Epoch [20/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 22.9483
Gen 0 Tree 0: Epoch [21/100], lr:-0.0000, Loss:2.3484, Time_for_epoch: 22.9529
Gen 0 Tree 0: Epoch [22/100], lr:-0.0000, Loss:2.3494, Time_for_epoch: 22.8184
Gen 0 Tree 0: Epoch [23/100], lr:-0.0000, Loss:2.3489, Time_for_epoch: 22.8599
Gen 0 Tree 0: Epoch [24/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 22.8422
Gen 0 Tree 0: Epoch [25/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 22.8500
Gen 0 Tree 0: Epoch [26/100], lr:-0.0000, Loss:2.3488, Time_for_epoch: 22.8200
Gen 0 Tree 0: Epoch [27/100], lr:-0.0000, Loss:2.3488, Time_for_epoch: 22.8541
Gen 0 Tree 0: Epoch [28/100], lr:-0.0000, Loss:2.3491, Time_for_epoch: 22.8226
Gen 0 Tree 0: Epoch [29/100], lr:-0.0000, Loss:2.3491, Time_for_epoch: 22.8478
Gen 0 Tree 0: Epoch [30/100], lr:-0.0000, Loss:2.3490, Time_for_epoch: 22.8325
