start Python
Time_data_preparation: 1.1905
Testing scheduler 0: StepLRMethod 0: Epoch [1/100], lr:0.0100, Loss:1.6946, Time_for_epoch: 26.6739
Method 0: Epoch [2/100], lr:0.0100, Loss:1.1496, Time_for_epoch: 23.6121
Method 0: Epoch [3/100], lr:0.0100, Loss:0.9278, Time_for_epoch: 23.4721
Method 0: Epoch [4/100], lr:0.0095, Loss:0.7756, Time_for_epoch: 23.8874
Method 0: Epoch [5/100], lr:0.0095, Loss:0.6806, Time_for_epoch: 23.6030
Method 0: Epoch [6/100], lr:0.0095, Loss:0.6078, Time_for_epoch: 23.4626
Method 0: Epoch [7/100], lr:0.0090, Loss:0.5384, Time_for_epoch: 23.2276
Method 0: Epoch [8/100], lr:0.0090, Loss:0.4900, Time_for_epoch: 23.2178
Method 0: Epoch [9/100], lr:0.0090, Loss:0.4559, Time_for_epoch: 23.1942
Method 0: Epoch [10/100], lr:0.0086, Loss:0.4124, Time_for_epoch: 23.1455
Method 0: Epoch [11/100], lr:0.0086, Loss:0.3767, Time_for_epoch: 23.2709
Method 0: Epoch [12/100], lr:0.0086, Loss:0.3441, Time_for_epoch: 23.3554
Method 0: Epoch [13/100], lr:0.0081, Loss:0.3124, Time_for_epoch: 23.0751
Method 0: Epoch [14/100], lr:0.0081, Loss:0.2901, Time_for_epoch: 23.1499
Method 0: Epoch [15/100], lr:0.0081, Loss:0.2638, Time_for_epoch: 23.1652
Method 0: Epoch [16/100], lr:0.0077, Loss:0.2355, Time_for_epoch: 23.1905
Method 0: Epoch [17/100], lr:0.0077, Loss:0.2166, Time_for_epoch: 23.1281
Method 0: Epoch [18/100], lr:0.0077, Loss:0.2004, Time_for_epoch: 23.1590
Method 0: Epoch [19/100], lr:0.0074, Loss:0.1720, Time_for_epoch: 23.1743
Method 0: Epoch [20/100], lr:0.0074, Loss:0.1642, Time_for_epoch: 23.1684
Method 0: Epoch [21/100], lr:0.0074, Loss:0.1435, Time_for_epoch: 25.2914
Method 0: Epoch [22/100], lr:0.0070, Loss:0.1278, Time_for_epoch: 37.4642
Method 0: Epoch [23/100], lr:0.0070, Loss:0.1210, Time_for_epoch: 38.4664
Method 0: Epoch [24/100], lr:0.0070, Loss:0.1173, Time_for_epoch: 37.5064
Method 0: Epoch [25/100], lr:0.0066, Loss:0.0919, Time_for_epoch: 37.8132
Method 0: Epoch [26/100], lr:0.0066, Loss:0.0938, Time_for_epoch: 38.0584
Method 0: Epoch [27/100], lr:0.0066, Loss:0.0929, Time_for_epoch: 38.8890
Method 0: Epoch [28/100], lr:0.0063, Loss:0.0713, Time_for_epoch: 38.1040
Method 0: Epoch [29/100], lr:0.0063, Loss:0.0729, Time_for_epoch: 38.3558
Method 0: Epoch [30/100], lr:0.0063, Loss:0.0753, Time_for_epoch: 38.1585
Method 0: Epoch [31/100], lr:0.0060, Loss:0.0609, Time_for_epoch: 36.9893
Method 0: Epoch [32/100], lr:0.0060, Loss:0.0585, Time_for_epoch: 38.0374
Method 0: Epoch [33/100], lr:0.0060, Loss:0.0596, Time_for_epoch: 37.5099
Method 0: Epoch [34/100], lr:0.0057, Loss:0.0559, Time_for_epoch: 40.3690
Method 0: Epoch [35/100], lr:0.0057, Loss:0.0468, Time_for_epoch: 47.1236
Method 0: Epoch [36/100], lr:0.0057, Loss:0.0498, Time_for_epoch: 47.6964
Method 0: Epoch [37/100], lr:0.0054, Loss:0.0424, Time_for_epoch: 47.5354
Method 0: Epoch [38/100], lr:0.0054, Loss:0.0429, Time_for_epoch: 47.5459
Method 0: Epoch [39/100], lr:0.0054, Loss:0.0472, Time_for_epoch: 47.1588
Method 0: Epoch [40/100], lr:0.0051, Loss:0.0316, Time_for_epoch: 47.5086
Method 0: Epoch [41/100], lr:0.0051, Loss:0.0343, Time_for_epoch: 47.5878
