start Python
Time_data_preparation: 1.1075
Testing scheduler 0: StepLR
Method 0: Epoch [1/100], lr:0.0010, Loss:1.4028, Time_for_epoch: 25.5087
Method 0: Epoch [2/100], lr:0.0010, Loss:0.9415, Time_for_epoch: 21.7169
Method 0: Epoch [3/100], lr:0.0010, Loss:0.7274, Time_for_epoch: 21.8666
Method 0: Epoch [4/100], lr:0.0009, Loss:0.5849, Time_for_epoch: 21.8703
Method 0: Epoch [5/100], lr:0.0009, Loss:0.4921, Time_for_epoch: 22.1273
Method 0: Epoch [6/100], lr:0.0009, Loss:0.4106, Time_for_epoch: 21.7745
Method 0: Epoch [7/100], lr:0.0009, Loss:0.3337, Time_for_epoch: 21.8976
Method 0: Epoch [8/100], lr:0.0009, Loss:0.2786, Time_for_epoch: 21.8818
Method 0: Epoch [9/100], lr:0.0009, Loss:0.2375, Time_for_epoch: 21.7785
Method 0: Epoch [10/100], lr:0.0009, Loss:0.2003, Time_for_epoch: 21.8489
Method 0: Epoch [11/100], lr:0.0009, Loss:0.1637, Time_for_epoch: 21.8932
Method 0: Epoch [12/100], lr:0.0009, Loss:0.1447, Time_for_epoch: 21.7441
Method 0: Epoch [13/100], lr:0.0008, Loss:0.1137, Time_for_epoch: 21.8939
Method 0: Epoch [14/100], lr:0.0008, Loss:0.1114, Time_for_epoch: 21.8974
Method 0: Epoch [15/100], lr:0.0008, Loss:0.1024, Time_for_epoch: 21.8521
Method 0: Epoch [16/100], lr:0.0008, Loss:0.0832, Time_for_epoch: 21.8931
Method 0: Epoch [17/100], lr:0.0008, Loss:0.0694, Time_for_epoch: 21.8160
Method 0: Epoch [18/100], lr:0.0008, Loss:0.0835, Time_for_epoch: 21.9024
Method 0: Epoch [19/100], lr:0.0007, Loss:0.0605, Time_for_epoch: 21.8110
Method 0: Epoch [20/100], lr:0.0007, Loss:0.0555, Time_for_epoch: 21.8834
Method 0: Epoch [21/100], lr:0.0007, Loss:0.0655, Time_for_epoch: 21.8893
Method 0: Epoch [22/100], lr:0.0007, Loss:0.0485, Time_for_epoch: 21.9166
Method 0: Epoch [23/100], lr:0.0007, Loss:0.0509, Time_for_epoch: 21.7823
Method 0: Epoch [24/100], lr:0.0007, Loss:0.0543, Time_for_epoch: 21.9085
Method 0: Epoch [25/100], lr:0.0007, Loss:0.0465, Time_for_epoch: 21.8684
Method 0: Epoch [26/100], lr:0.0007, Loss:0.0408, Time_for_epoch: 21.7961
Method 0: Epoch [27/100], lr:0.0007, Loss:0.0351, Time_for_epoch: 21.8324
Method 0: Epoch [28/100], lr:0.0006, Loss:0.0353, Time_for_epoch: 21.8400
Method 0: Epoch [29/100], lr:0.0006, Loss:0.0382, Time_for_epoch: 21.8849
Method 0: Epoch [30/100], lr:0.0006, Loss:0.0402, Time_for_epoch: 21.9485
Method 0: Epoch [31/100], lr:0.0006, Loss:0.0353, Time_for_epoch: 21.8210
Method 0: Epoch [32/100], lr:0.0006, Loss:0.0239, Time_for_epoch: 21.7881
Method 0: Epoch [33/100], lr:0.0006, Loss:0.0262, Time_for_epoch: 21.8100
Method 0: Epoch [34/100], lr:0.0006, Loss:0.0310, Time_for_epoch: 21.5861
Method 0: Epoch [35/100], lr:0.0006, Loss:0.0306, Time_for_epoch: 21.5828
Method 0: Epoch [36/100], lr:0.0006, Loss:0.0211, Time_for_epoch: 21.5889
Method 0: Epoch [37/100], lr:0.0005, Loss:0.0226, Time_for_epoch: 21.5919
Method 0: Epoch [38/100], lr:0.0005, Loss:0.0255, Time_for_epoch: 21.5712
Method 0: Epoch [39/100], lr:0.0005, Loss:0.0251, Time_for_epoch: 21.5615
Method 0: Epoch [40/100], lr:0.0005, Loss:0.0181, Time_for_epoch: 21.5999
Method 0: Epoch [41/100], lr:0.0005, Loss:0.0191, Time_for_epoch: 21.5738
Method 0: Epoch [42/100], lr:0.0005, Loss:0.0191, Time_for_epoch: 21.5946
Method 0: Epoch [43/100], lr:0.0005, Loss:0.0166, Time_for_epoch: 21.5809
Method 0: Epoch [44/100], lr:0.0005, Loss:0.0202, Time_for_epoch: 21.5986
Method 0: Epoch [45/100], lr:0.0005, Loss:0.0192, Time_for_epoch: 21.5734
Method 0: Epoch [46/100], lr:0.0005, Loss:0.0140, Time_for_epoch: 21.5960
Method 0: Epoch [47/100], lr:0.0005, Loss:0.0167, Time_for_epoch: 21.5878
Method 0: Epoch [48/100], lr:0.0005, Loss:0.0133, Time_for_epoch: 21.5882
Method 0: Epoch [49/100], lr:0.0004, Loss:0.0114, Time_for_epoch: 21.5898
Method 0: Epoch [50/100], lr:0.0004, Loss:0.0143, Time_for_epoch: 21.6101
Method 0: Epoch [51/100], lr:0.0004, Loss:0.0160, Time_for_epoch: 21.5876
Method 0: Epoch [52/100], lr:0.0004, Loss:0.0112, Time_for_epoch: 21.5822
Method 0: Epoch [53/100], lr:0.0004, Loss:0.0098, Time_for_epoch: 21.5913
Method 0: Epoch [54/100], lr:0.0004, Loss:0.0105, Time_for_epoch: 21.5741
Method 0: Epoch [55/100], lr:0.0004, Loss:0.0106, Time_for_epoch: 21.5707
Method 0: Epoch [56/100], lr:0.0004, Loss:0.0120, Time_for_epoch: 21.5902
Method 0: Epoch [57/100], lr:0.0004, Loss:0.0122, Time_for_epoch: 21.5972
Method 0: Epoch [58/100], lr:0.0004, Loss:0.0103, Time_for_epoch: 21.5916
Method 0: Epoch [59/100], lr:0.0004, Loss:0.0067, Time_for_epoch: 21.5872
Method 0: Epoch [60/100], lr:0.0004, Loss:0.0065, Time_for_epoch: 21.6115
Method 0: Epoch [61/100], lr:0.0004, Loss:0.0070, Time_for_epoch: 21.5992
Method 0: Epoch [62/100], lr:0.0004, Loss:0.0057, Time_for_epoch: 21.5647
Method 0: Epoch [63/100], lr:0.0004, Loss:0.0107, Time_for_epoch: 21.5755
Method 0: Epoch [64/100], lr:0.0003, Loss:0.0132, Time_for_epoch: 21.5948
Method 0: Epoch [65/100], lr:0.0003, Loss:0.0068, Time_for_epoch: 21.5810
Method 0: Epoch [66/100], lr:0.0003, Loss:0.0047, Time_for_epoch: 21.6143
Method 0: Epoch [67/100], lr:0.0003, Loss:0.0064, Time_for_epoch: 21.6111
Method 0: Epoch [68/100], lr:0.0003, Loss:0.0068, Time_for_epoch: 21.5811
Method 0: Epoch [69/100], lr:0.0003, Loss:0.0086, Time_for_epoch: 21.5910
Method 0: Epoch [70/100], lr:0.0003, Loss:0.0058, Time_for_epoch: 21.5619
Method 0: Epoch [71/100], lr:0.0003, Loss:0.0039, Time_for_epoch: 21.5708
Method 0: Epoch [72/100], lr:0.0003, Loss:0.0014, Time_for_epoch: 21.2472
Method 0: Epoch [73/100], lr:0.0003, Loss:0.0040, Time_for_epoch: 21.7399
Method 0: Epoch [74/100], lr:0.0003, Loss:0.0081, Time_for_epoch: 21.6707
Method 0: Epoch [75/100], lr:0.0003, Loss:0.0089, Time_for_epoch: 21.6485
Method 0: Epoch [76/100], lr:0.0003, Loss:0.0047, Time_for_epoch: 21.6234
Method 0: Epoch [77/100], lr:0.0003, Loss:0.0019, Time_for_epoch: 21.5584
Method 0: Epoch [78/100], lr:0.0003, Loss:0.0026, Time_for_epoch: 21.6963
Method 0: Epoch [79/100], lr:0.0003, Loss:0.0040, Time_for_epoch: 21.6379
Method 0: Epoch [80/100], lr:0.0003, Loss:0.0028, Time_for_epoch: 21.5910
Method 0: Epoch [81/100], lr:0.0003, Loss:0.0045, Time_for_epoch: 21.6257
Method 0: Epoch [82/100], lr:0.0003, Loss:0.0044, Time_for_epoch: 21.6434
Method 0: Epoch [83/100], lr:0.0003, Loss:0.0044, Time_for_epoch: 21.6328
Method 0: Epoch [84/100], lr:0.0003, Loss:0.0032, Time_for_epoch: 21.6271
Method 0: Epoch [85/100], lr:0.0002, Loss:0.0026, Time_for_epoch: 21.5862
Method 0: Epoch [86/100], lr:0.0002, Loss:0.0026, Time_for_epoch: 21.6166
Method 0: Epoch [87/100], lr:0.0002, Loss:0.0034, Time_for_epoch: 21.5882
Method 0: Epoch [88/100], lr:0.0002, Loss:0.0034, Time_for_epoch: 21.5895
Method 0: Epoch [89/100], lr:0.0002, Loss:0.0032, Time_for_epoch: 21.5750
Method 0: Epoch [90/100], lr:0.0002, Loss:0.0018, Time_for_epoch: 21.5619
Method 0: Epoch [91/100], lr:0.0002, Loss:0.0013, Time_for_epoch: 21.5762
Method 0: Epoch [92/100], lr:0.0002, Loss:0.0029, Time_for_epoch: 21.5839
Method 0: Epoch [93/100], lr:0.0002, Loss:0.0036, Time_for_epoch: 21.5633
Method 0: Epoch [94/100], lr:0.0002, Loss:0.0027, Time_for_epoch: 21.5744
Method 0: Epoch [95/100], lr:0.0002, Loss:0.0023, Time_for_epoch: 21.5545
