StepLR	MultiStepLR	ExponentialLR	CosineAnnealingLR
1.1418 0.8607	1.1263 0.8545	1.3081 0.8647	1.1756 0.8665	
1.0991 0.8641	1.1465 0.8601	1.3382 0.8577	1.2426 0.8595	
1.1002 0.8659	1.2281 0.8485	1.2894 0.8625	1.3228 0.8548	
1.1300 0.8652	1.2306 0.8502	1.2749 0.8587	1.2360 0.8617	
1.0812 0.8669	1.2032 0.8553	1.3138 0.8630	1.2260 0.8614	
1.1871 0.8566	1.2414 0.8482	1.2393 0.8667	1.3167 0.8515	
1.0882 0.8668	1.2108 0.8465	1.2891 0.8617	1.2457 0.8632	
1.0382 0.8634	1.1537 0.8582	1.3321 0.8601	1.1825 0.8657	
1.0889 0.8658	1.1558 0.8605	1.3313 0.8597	1.2216 0.8578	
1.0747 0.8682	1.2077 0.8512	1.2756 0.8608	1.1788 0.8647	
