start Python
Time_data_preparation: 1.1087
Testing scheduler 0: ReduceLROnPlateau
Method 0: Epoch [1/100], lr:0.0010, Loss:1.3688, Time_for_epoch: 28.2086
Method 0: Epoch [2/100], lr:0.0010, Loss:0.9174, Time_for_epoch: 24.0922
Method 0: Epoch [3/100], lr:0.0010, Loss:0.7139, Time_for_epoch: 24.0640
Method 0: Epoch [4/100], lr:0.0010, Loss:0.5854, Time_for_epoch: 24.0891
Method 0: Epoch [5/100], lr:0.0010, Loss:0.4873, Time_for_epoch: 21.8789
Method 0: Epoch [6/100], lr:0.0010, Loss:0.4146, Time_for_epoch: 24.0623
Method 0: Epoch [7/100], lr:0.0010, Loss:0.3518, Time_for_epoch: 24.0653
Method 0: Epoch [8/100], lr:0.0010, Loss:0.3025, Time_for_epoch: 23.9153
Method 0: Epoch [9/100], lr:0.0010, Loss:0.2581, Time_for_epoch: 23.8264
Method 0: Epoch [10/100], lr:0.0010, Loss:0.2229, Time_for_epoch: 24.2522
Method 0: Epoch [11/100], lr:0.0010, Loss:0.1943, Time_for_epoch: 24.0553
Method 0: Epoch [12/100], lr:0.0010, Loss:0.1676, Time_for_epoch: 24.1307
Method 0: Epoch [13/100], lr:0.0010, Loss:0.1522, Time_for_epoch: 24.0577
Method 0: Epoch [14/100], lr:0.0010, Loss:0.1378, Time_for_epoch: 24.0419
Method 0: Epoch [15/100], lr:0.0010, Loss:0.1224, Time_for_epoch: 24.0743
Method 0: Epoch [16/100], lr:0.0010, Loss:0.1119, Time_for_epoch: 24.0753
Method 0: Epoch [17/100], lr:0.0010, Loss:0.1124, Time_for_epoch: 23.3624
Method 0: Epoch [18/100], lr:0.0010, Loss:0.0926, Time_for_epoch: 24.0779
Method 0: Epoch [19/100], lr:0.0005, Loss:0.0322, Time_for_epoch: 24.1299
Method 0: Epoch [20/100], lr:0.0005, Loss:0.0068, Time_for_epoch: 24.0739
Method 0: Epoch [21/100], lr:0.0005, Loss:0.0029, Time_for_epoch: 20.8368
Method 0: Epoch [22/100], lr:0.0005, Loss:0.0026, Time_for_epoch: 24.0716
Method 0: Epoch [23/100], lr:0.0005, Loss:0.0160, Time_for_epoch: 24.0877
Method 0: Epoch [24/100], lr:0.0005, Loss:0.0682, Time_for_epoch: 24.0885
Method 0: Epoch [25/100], lr:0.0005, Loss:0.0244, Time_for_epoch: 22.7894
Method 0: Epoch [26/100], lr:0.0005, Loss:0.0194, Time_for_epoch: 24.1337
