start Python
Time_data_preparation: 1.0694
Testing scheduler 0: CyclicLR
Method 0: Epoch [1/100], lr:0.0100, Loss:1.6728, Time_for_epoch: 55.9094
Method 0: Epoch [2/100], lr:0.0028, Loss:1.0670, Time_for_epoch: 51.0372
Method 0: Epoch [3/100], lr:0.0046, Loss:0.9010, Time_for_epoch: 51.0362
Method 0: Epoch [4/100], lr:0.0064, Loss:0.7634, Time_for_epoch: 50.9651
Method 0: Epoch [5/100], lr:0.0082, Loss:0.6561, Time_for_epoch: 51.0138
Method 0: Epoch [6/100], lr:0.0100, Loss:0.5674, Time_for_epoch: 51.0128
Method 0: Epoch [7/100], lr:0.0082, Loss:0.4464, Time_for_epoch: 50.9981
Method 0: Epoch [8/100], lr:0.0064, Loss:0.3473, Time_for_epoch: 51.0307
Method 0: Epoch [9/100], lr:0.0046, Loss:0.2587, Time_for_epoch: 51.0257
Method 0: Epoch [10/100], lr:0.0028, Loss:0.1661, Time_for_epoch: 51.0263
Method 0: Epoch [11/100], lr:0.0010, Loss:0.0845, Time_for_epoch: 50.5814
Method 0: Epoch [12/100], lr:0.0028, Loss:0.1243, Time_for_epoch: 50.5183
Method 0: Epoch [13/100], lr:0.0046, Loss:0.1896, Time_for_epoch: 50.5577
Method 0: Epoch [14/100], lr:0.0064, Loss:0.2171, Time_for_epoch: 50.5611
Method 0: Epoch [15/100], lr:0.0082, Loss:0.2282, Time_for_epoch: 50.5819
Method 0: Epoch [16/100], lr:0.0100, Loss:0.2348, Time_for_epoch: 50.5780
Method 0: Epoch [17/100], lr:0.0082, Loss:0.1539, Time_for_epoch: 50.5584
Method 0: Epoch [18/100], lr:0.0064, Loss:0.0911, Time_for_epoch: 50.6104
Method 0: Epoch [19/100], lr:0.0046, Loss:0.0373, Time_for_epoch: 50.5621
Method 0: Epoch [20/100], lr:0.0028, Loss:0.0157, Time_for_epoch: 50.5619
Method 0: Epoch [21/100], lr:0.0010, Loss:0.0042, Time_for_epoch: 50.5278
Method 0: Epoch [22/100], lr:0.0028, Loss:0.0037, Time_for_epoch: 50.5689
Method 0: Epoch [23/100], lr:0.0046, Loss:0.1074, Time_for_epoch: 50.4971
Method 0: Epoch [24/100], lr:0.0064, Loss:0.1095, Time_for_epoch: 50.5652
Method 0: Epoch [25/100], lr:0.0082, Loss:0.1263, Time_for_epoch: 50.1701
Method 0: Epoch [26/100], lr:0.0100, Loss:0.1442, Time_for_epoch: 50.5752
Method 0: Epoch [27/100], lr:0.0082, Loss:0.0726, Time_for_epoch: 50.6046
Method 0: Epoch [28/100], lr:0.0064, Loss:0.0366, Time_for_epoch: 50.5715
Method 0: Epoch [29/100], lr:0.0046, Loss:0.0163, Time_for_epoch: 50.5754
Method 0: Epoch [30/100], lr:0.0028, Loss:0.0044, Time_for_epoch: 50.5706
Method 0: Epoch [31/100], lr:0.0010, Loss:0.0014, Time_for_epoch: 50.5748
Method 0: Epoch [32/100], lr:0.0028, Loss:0.0025, Time_for_epoch: 50.5816
Method 0: Epoch [33/100], lr:0.0046, Loss:0.0593, Time_for_epoch: 50.5259
Method 0: Epoch [34/100], lr:0.0064, Loss:0.0751, Time_for_epoch: 50.5469
Method 0: Epoch [35/100], lr:0.0082, Loss:0.0890, Time_for_epoch: 50.5564
Method 0: Epoch [36/100], lr:0.0100, Loss:0.0919, Time_for_epoch: 50.5880
Method 0: Epoch [37/100], lr:0.0082, Loss:0.0497, Time_for_epoch: 50.7954
Method 0: Epoch [38/100], lr:0.0064, Loss:0.0200, Time_for_epoch: 51.0341
Method 0: Epoch [39/100], lr:0.0046, Loss:0.0052, Time_for_epoch: 51.0403
Method 0: Epoch [40/100], lr:0.0028, Loss:0.0021, Time_for_epoch: 51.0195
Method 0: Epoch [41/100], lr:0.0010, Loss:0.0009, Time_for_epoch: 51.0294
Method 0: Epoch [42/100], lr:0.0028, Loss:0.0006, Time_for_epoch: 51.0400
Method 0: Epoch [43/100], lr:0.0046, Loss:0.0437, Time_for_epoch: 51.0287
Method 0: Epoch [44/100], lr:0.0064, Loss:0.0590, Time_for_epoch: 51.0321
Method 0: Epoch [45/100], lr:0.0082, Loss:0.0686, Time_for_epoch: 50.9773
Method 0: Epoch [46/100], lr:0.0100, Loss:0.0720, Time_for_epoch: 51.0156
Method 0: Epoch [47/100], lr:0.0082, Loss:0.0352, Time_for_epoch: 51.0270
Method 0: Epoch [48/100], lr:0.0064, Loss:0.0124, Time_for_epoch: 51.0195
Method 0: Epoch [49/100], lr:0.0046, Loss:0.0051, Time_for_epoch: 51.0197
Method 0: Epoch [50/100], lr:0.0028, Loss:0.0013, Time_for_epoch: 51.0337
Method 0: Epoch [51/100], lr:0.0010, Loss:0.0006, Time_for_epoch: 51.0443
Method 0: Epoch [52/100], lr:0.0028, Loss:0.0005, Time_for_epoch: 51.0145
