start Python
Time_data_preparation: 1.1842
Testing scheduler 0: StepLR
Method 0: Epoch [1/150], lr:0.0100, Loss:6.2062, Time_for_epoch: 47.7709
Method 0: Epoch [2/150], lr:0.0100, Loss:4.4362, Time_for_epoch: 47.0524
Method 0: Epoch [3/150], lr:0.0100, Loss:4.2172, Time_for_epoch: 47.0307
Method 0: Epoch [4/150], lr:0.0095, Loss:4.2124, Time_for_epoch: 47.1021
Method 0: Epoch [5/150], lr:0.0095, Loss:3.9932, Time_for_epoch: 47.4483
Method 0: Epoch [6/150], lr:0.0095, Loss:3.8235, Time_for_epoch: 47.4331
Method 0: Epoch [7/150], lr:0.0090, Loss:3.6561, Time_for_epoch: 46.9699
Method 0: Epoch [8/150], lr:0.0090, Loss:3.4631, Time_for_epoch: 47.4608
Method 0: Epoch [9/150], lr:0.0090, Loss:3.2559, Time_for_epoch: 47.5079
Method 0: Epoch [10/150], lr:0.0086, Loss:3.0692, Time_for_epoch: 47.5559
Method 0: Epoch [11/150], lr:0.0086, Loss:2.8701, Time_for_epoch: 47.5608
Method 0: Epoch [12/150], lr:0.0086, Loss:2.6676, Time_for_epoch: 47.5552
Method 0: Epoch [13/150], lr:0.0081, Loss:2.4676, Time_for_epoch: 47.5367
Method 0: Epoch [14/150], lr:0.0081, Loss:2.3098, Time_for_epoch: 47.4823
Method 0: Epoch [15/150], lr:0.0081, Loss:2.1842, Time_for_epoch: 47.4960
Method 0: Epoch [16/150], lr:0.0077, Loss:2.0762, Time_for_epoch: 47.5228
Method 0: Epoch [17/150], lr:0.0077, Loss:1.9451, Time_for_epoch: 47.4828
Method 0: Epoch [18/150], lr:0.0077, Loss:1.8384, Time_for_epoch: 47.5245
Method 0: Epoch [19/150], lr:0.0074, Loss:1.7425, Time_for_epoch: 47.5954
Method 0: Epoch [20/150], lr:0.0074, Loss:1.6572, Time_for_epoch: 47.5423
Method 0: Epoch [21/150], lr:0.0074, Loss:1.5700, Time_for_epoch: 47.6077
Method 0: Epoch [22/150], lr:0.0070, Loss:1.5005, Time_for_epoch: 47.5881
Method 0: Epoch [23/150], lr:0.0070, Loss:1.4319, Time_for_epoch: 47.3427
Method 0: Epoch [24/150], lr:0.0070, Loss:1.3699, Time_for_epoch: 47.1125
Method 0: Epoch [25/150], lr:0.0066, Loss:1.2907, Time_for_epoch: 47.0769
Method 0: Epoch [26/150], lr:0.0066, Loss:1.2460, Time_for_epoch: 47.5431
Method 0: Epoch [27/150], lr:0.0066, Loss:1.1986, Time_for_epoch: 47.0772
Method 0: Epoch [28/150], lr:0.0063, Loss:1.1398, Time_for_epoch: 46.7593
