немного неправильно сделала, первые 5 эпох не записалось
Method 0: Epoch [5/150], lr:0.0095, Loss:1.3348, Time_for_epoch: 15.6313
Method 0: Epoch [6/150], lr:0.0095, Loss:1.1879, Time_for_epoch: 15.6192
Method 0: Epoch [7/150], lr:0.0090, Loss:1.0532, Time_for_epoch: 15.6324
Method 0: Epoch [8/150], lr:0.0090, Loss:0.9379, Time_for_epoch: 15.6353
Method 0: Epoch [9/150], lr:0.0090, Loss:0.8470, Time_for_epoch: 15.6527
Method 0: Epoch [10/150], lr:0.0086, Loss:0.7558, Time_for_epoch: 15.6421
Method 0: Epoch [11/150], lr:0.0086, Loss:0.6923, Time_for_epoch: 15.6052
Method 0: Epoch [12/150], lr:0.0086, Loss:0.6290, Time_for_epoch: 15.6205
Method 0: Epoch [13/150], lr:0.0081, Loss:0.5519, Time_for_epoch: 15.6256
Method 0: Epoch [14/150], lr:0.0081, Loss:0.5059, Time_for_epoch: 15.6149
Method 0: Epoch [15/150], lr:0.0081, Loss:0.4587, Time_for_epoch: 15.6043
Method 0: Epoch [16/150], lr:0.0077, Loss:0.3925, Time_for_epoch: 15.6010
Method 0: Epoch [17/150], lr:0.0077, Loss:0.3396, Time_for_epoch: 15.5950
Method 0: Epoch [18/150], lr:0.0077, Loss:0.3137, Time_for_epoch: 15.6004
Method 0: Epoch [19/150], lr:0.0074, Loss:0.2558, Time_for_epoch: 15.6068
Method 0: Epoch [20/150], lr:0.0074, Loss:0.2244, Time_for_epoch: 15.6121
Method 0: Epoch [21/150], lr:0.0074, Loss:0.2163, Time_for_epoch: 15.5968
Method 0: Epoch [22/150], lr:0.0070, Loss:0.1731, Time_for_epoch: 15.5960
Method 0: Epoch [23/150], lr:0.0070, Loss:0.1562, Time_for_epoch: 15.4092
Method 0: Epoch [24/150], lr:0.0070, Loss:0.1494, Time_for_epoch: 15.6138
Method 0: Epoch [25/150], lr:0.0066, Loss:0.1256, Time_for_epoch: 15.6000
Method 0: Epoch [26/150], lr:0.0066, Loss:0.1393, Time_for_epoch: 15.5973
Method 0: Epoch [27/150], lr:0.0066, Loss:0.1199, Time_for_epoch: 15.6092
Method 0: Epoch [28/150], lr:0.0063, Loss:0.1004, Time_for_epoch: 15.5839
Method 0: Epoch [29/150], lr:0.0063, Loss:0.1008, Time_for_epoch: 15.5685
Method 0: Epoch [30/150], lr:0.0063, Loss:0.1073, Time_for_epoch: 15.5743
Method 0: Epoch [31/150], lr:0.0060, Loss:0.0752, Time_for_epoch: 15.5331
Method 0: Epoch [32/150], lr:0.0060, Loss:0.0802, Time_for_epoch: 15.5244
Method 0: Epoch [33/150], lr:0.0060, Loss:0.0851, Time_for_epoch: 15.5264
Method 0: Epoch [34/150], lr:0.0057, Loss:0.0680, Time_for_epoch: 15.5373
Method 0: Epoch [35/150], lr:0.0057, Loss:0.0636, Time_for_epoch: 15.5342
Method 0: Epoch [36/150], lr:0.0057, Loss:0.0804, Time_for_epoch: 15.5226
Method 0: Epoch [37/150], lr:0.0054, Loss:0.0600, Time_for_epoch: 15.5249
Method 0: Epoch [38/150], lr:0.0054, Loss:0.0588, Time_for_epoch: 15.5277
Method 0: Epoch [39/150], lr:0.0054, Loss:0.0619, Time_for_epoch: 15.5476
Method 0: Epoch [40/150], lr:0.0051, Loss:0.0472, Time_for_epoch: 15.5429
Method 0: Epoch [41/150], lr:0.0051, Loss:0.0537, Time_for_epoch: 15.5343
Method 0: Epoch [42/150], lr:0.0051, Loss:0.0536, Time_for_epoch: 15.5283
Method 0: Epoch [43/150], lr:0.0049, Loss:0.0460, Time_for_epoch: 15.5362
