start Python
Time_data_preparation: 1.4250
Testing expression cos(cos(e))
[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
 0.72902338 0.98943353 0.61285301 0.66815392 0.99999021 0.66458805
 0.61575952 0.99066602 0.72505098 0.57543575 0.96238083 0.78979801
 0.54977237 0.91788364 0.85370921 0.54033527 0.86137142 0.91137694
 0.54768388 0.7979444  0.95763009 0.57138334 0.73301155 0.98812682
 0.60999475 0.6717532  0.99991187 0.6610566  0.61871353 0.99182381
 0.72109555 0.57754864 0.9646609  0.78571941 0.55091235 0.92106671
 0.84984073 0.54043415 0.86516251 0.90805567 0.54673585 0.80200955
 0.95516121 0.5694448  0.7370143  0.98674638 0.60718548 0.6753849
 0.99975521 0.65756052 0.62171428 0.99290645 0.71715827 0.57971864
 0.96687627 0.78163895 0.5521158  0.92420137 0.84594911 0.54059893
 0.86892516 0.90469074 0.54585227 0.80606757 0.95263124 0.56756534
 0.7410304  0.98529277 0.60442592 0.67904798 0.99952031 0.6541008
 0.62476098 0.99391351 0.71324031 0.58194522 0.9690261  0.77755794
 0.55338243 0.92728646 0.84203568 0.54082956 0.87265806 0.90128334
 0.54503333 0.81011713 0.95004112 0.56574541 0.74505865 0.98376654
 0.60171676 0.68274143 0.99920725 0.65067838]
Epoch [1/100], lr:0.0009, Loss:4.1636, Time_for_epoch: 65.0400
Epoch [2/100], lr:0.0009, Loss:3.5650, Time_for_epoch: 60.4380
Epoch [3/100], lr:0.0005, Loss:2.9724, Time_for_epoch: 60.4828
Epoch [4/100], lr:0.0008, Loss:2.6739, Time_for_epoch: 60.4374
Epoch [5/100], lr:0.0010, Loss:2.3913, Time_for_epoch: 60.4506
Epoch [6/100], lr:0.0006, Loss:1.9663, Time_for_epoch: 60.4522
Epoch [7/100], lr:0.0007, Loss:1.8657, Time_for_epoch: 60.4535
Epoch [8/100], lr:0.0010, Loss:1.7956, Time_for_epoch: 60.4433
Epoch [9/100], lr:0.0006, Loss:1.5091, Time_for_epoch: 60.4544
Epoch [10/100], lr:0.0007, Loss:1.4016, Time_for_epoch: 60.4658
Epoch [11/100], lr:0.0010, Loss:1.4613, Time_for_epoch: 60.4620
Epoch [12/100], lr:0.0007, Loss:1.2060, Time_for_epoch: 60.4598
Epoch [13/100], lr:0.0006, Loss:1.0934, Time_for_epoch: 60.4630
Epoch [14/100], lr:0.0010, Loss:1.1759, Time_for_epoch: 60.4576
Epoch [15/100], lr:0.0007, Loss:0.9939, Time_for_epoch: 60.4393
Epoch [16/100], lr:0.0006, Loss:0.8691, Time_for_epoch: 60.4416
Epoch [17/100], lr:0.0010, Loss:1.0101, Time_for_epoch: 60.4519
Epoch [18/100], lr:0.0008, Loss:0.8471, Time_for_epoch: 60.4515
Epoch [19/100], lr:0.0005, Loss:0.6684, Time_for_epoch: 60.4375
Epoch [20/100], lr:0.0009, Loss:0.7776, Time_for_epoch: 60.4365
Epoch [21/100], lr:0.0009, Loss:0.7286, Time_for_epoch: 60.4475
Epoch [22/100], lr:0.0005, Loss:0.5224, Time_for_epoch: 60.4494
Epoch [23/100], lr:0.0009, Loss:0.6114, Time_for_epoch: 60.4575
Epoch [24/100], lr:0.0009, Loss:0.5879, Time_for_epoch: 60.4366
Epoch [25/100], lr:0.0005, Loss:0.3964, Time_for_epoch: 60.4196
Epoch [26/100], lr:0.0008, Loss:0.4564, Time_for_epoch: 60.4213
